통제군,처치군,이벤트 시점,증가&감소여부,퍼센트
금남시장,건대입구,202306,증가,24.92
금남시장,건대입구,202307,증가,27.26
금남시장,건대입구,202308,증가,29.77
금남시장,건대입구,202309,증가,34.33
금남시장,건대입구,202310,증가,40.11
금남시장,건대입구,202311,증가,44.19
금남시장,건대입구,202312,증가,48.08
금남시장,건대입구,202401,증가,51.77
금남시장,건대입구,202402,증가,38.26
금남시장,건대입구,202403,증가,33.4
금남시장,건대입구,202404,증가,29.08
금남시장,건대입구,202405,증가,26.68
금남시장,건대입구,202406,증가,25.29
금남시장,건대입구,202407,증가,23.34
답십리,건대입구,202306,증가,16.97
답십리,건대입구,202307,증가,18.12
답십리,건대입구,202308,증가,20.42
답십리,건대입구,202309,증가,24.43
답십리,건대입구,202310,증가,28.04
답십리,건대입구,202311,증가,33.72
답십리,건대입구,202312,증가,38.35
답십리,건대입구,202401,증가,43.33
답십리,건대입구,202402,증가,31.63
답십리,건대입구,202403,증가,28.14
답십리,건대입구,202404,증가,26.04
답십리,건대입구,202405,증가,24.74
답십리,건대입구,202406,증가,24.26
답십리,건대입구,202407,증가,22.94
동대문역사문화공원역,건대입구,202402,증가,33.33
동대문역사문화공원역,건대입구,202403,증가,27.25
뚝섬,건대입구,202306,증가,32.71
뚝섬,건대입구,202307,증가,33.52
뚝섬,건대입구,202308,증가,33.13
뚝섬,건대입구,202309,증가,36.17
뚝섬,건대입구,202310,증가,39.35
뚝섬,건대입구,202311,증가,43.75
뚝섬,건대입구,202312,증가,49.08
뚝섬,건대입구,202401,증가,52.77
뚝섬,건대입구,202402,증가,39.87
뚝섬,건대입구,202403,증가,34.31
뚝섬,건대입구,202404,증가,30.97
뚝섬,건대입구,202405,증가,33.46
뚝섬,건대입구,202406,증가,32.07
뚝섬,건대입구,202407,증가,30.58
마장동,건대입구,202306,증가,42.44
마장동,건대입구,202307,증가,38.02
마장동,건대입구,202308,증가,38.8
마장동,건대입구,202309,증가,41.42
마장동,건대입구,202310,증가,57.1
마장동,건대입구,202311,증가,62.24
마장동,건대입구,202312,증가,63.56
마장동,건대입구,202401,증가,68.01
마장동,건대입구,202402,증가,56.67
마장동,건대입구,202403,증가,54.94
마장동,건대입구,202404,증가,49.86
마장동,건대입구,202405,증가,44.92
마장동,건대입구,202406,증가,40.6
마장동,건대입구,202407,증가,35.15
미아사거리,건대입구,202403,감소,21.56
미아사거리,건대입구,202404,감소,21.69
미아사거리,건대입구,202405,감소,16.64
미아사거리,건대입구,202406,감소,13.2
미아사거리,건대입구,202407,감소,13.42
방배역,건대입구,202306,증가,20.73
방배역,건대입구,202307,증가,21.37
방배역,건대입구,202308,증가,24.11
방배역,건대입구,202402,증가,30.95
방배역,건대입구,202403,증가,24.68
서면역,건대입구,202306,증가,109.7
서면역,건대입구,202307,증가,106.24
서면역,건대입구,202308,증가,108.82
서면역,건대입구,202309,증가,111.77
서면역,건대입구,202312,증가,115.32
서면역,건대입구,202401,증가,130.93
서면역,건대입구,202402,증가,131.73
서면역,건대입구,202403,증가,141.52
서면역,건대입구,202404,증가,148.64
성수,건대입구,202306,증가,27.71
성수,건대입구,202307,증가,28.33
성수,건대입구,202308,증가,30.23
성수,건대입구,202309,증가,32.84
성수,건대입구,202310,증가,35.97
성수,건대입구,202311,증가,39.84
성수,건대입구,202312,증가,44
성수,건대입구,202401,증가,48.72
성수,건대입구,202402,증가,36.1
성수,건대입구,202403,증가,30.43
성수,건대입구,202404,증가,25.84
성수,건대입구,202405,증가,24.07
성수,건대입구,202406,증가,21.89
성수,건대입구,202407,증가,18.98
신금호,건대입구,202306,증가,30.31
신금호,건대입구,202307,증가,32.39
신금호,건대입구,202308,증가,36.16
신금호,건대입구,202309,증가,40.77
신금호,건대입구,202310,증가,44.24
신금호,건대입구,202311,증가,48.16
신금호,건대입구,202312,증가,51.84
신금호,건대입구,202401,증가,55.57
신금호,건대입구,202402,증가,43.46
신금호,건대입구,202403,증가,36.25
신금호,건대입구,202404,증가,32.22
신금호,건대입구,202405,증가,31.52
신금호,건대입구,202406,증가,31.65
신금호,건대입구,202407,증가,29.66
압구정로데오,건대입구,202306,증가,20.09
압구정로데오,건대입구,202307,증가,20.28
압구정로데오,건대입구,202308,증가,22.92
압구정로데오,건대입구,202309,증가,27.71
압구정로데오,건대입구,202402,증가,30.86
압구정로데오,건대입구,202403,증가,25.29
오남,건대입구,202311,증가,71.98
오남,건대입구,202312,증가,69.19
오남,건대입구,202402,증가,29.27
오남,건대입구,202405,증가,7.39
오남,건대입구,202406,증가,10.17
오남,건대입구,202407,증가,4.03
옥수,건대입구,202306,증가,9.52
옥수,건대입구,202307,증가,12.05
옥수,건대입구,202308,증가,16.82
옥수,건대입구,202309,증가,20.93
옥수,건대입구,202310,증가,26.42
옥수,건대입구,202311,증가,30.77
옥수,건대입구,202312,증가,34.4
옥수,건대입구,202401,증가,38.79
옥수,건대입구,202402,증가,25.82
옥수,건대입구,202403,증가,20.7
옥수,건대입구,202404,증가,20.05
옥수,건대입구,202405,증가,17.45
옥수,건대입구,202406,증가,16.46
옥수,건대입구,202407,증가,13.64
왕십리,건대입구,202306,증가,25.95
왕십리,건대입구,202307,증가,26.39
왕십리,건대입구,202308,증가,29.86
왕십리,건대입구,202309,증가,34.3
왕십리,건대입구,202310,증가,38.21
왕십리,건대입구,202311,증가,41.61
왕십리,건대입구,202312,증가,45.8
왕십리,건대입구,202401,증가,49.35
왕십리,건대입구,202402,증가,37.13
왕십리,건대입구,202403,증가,31.86
왕십리,건대입구,202404,증가,28.46
왕십리,건대입구,202405,증가,26.26
왕십리,건대입구,202406,증가,25.1
왕십리,건대입구,202407,증가,23.75
자양,건대입구,202402,감소,56.64
자양,건대입구,202403,감소,35.3
자양,건대입구,202404,감소,25.71
자양,건대입구,202405,감소,21.96
자양,건대입구,202406,감소,19.09
자양,건대입구,202407,감소,23.9
장한평자동차,건대입구,202306,증가,0.87
장한평자동차,건대입구,202307,증가,0.88
장한평자동차,건대입구,202308,증가,2.57
장한평자동차,건대입구,202309,증가,7.16
장한평자동차,건대입구,202310,증가,10.71
장한평자동차,건대입구,202311,증가,13.9
장한평자동차,건대입구,202312,증가,17.89
장한평자동차,건대입구,202401,증가,22.05
장한평자동차,건대입구,202402,증가,10.97
장한평자동차,건대입구,202403,증가,5.03
장한평자동차,건대입구,202404,감소,0.56
장한평자동차,건대입구,202405,감소,4.74
장한평자동차,건대입구,202406,감소,9.3
장한평자동차,건대입구,202407,감소,14.6
풍산지구,건대입구,202306,증가,24.53
풍산지구,건대입구,202307,증가,22.52
풍산지구,건대입구,202308,증가,27.16
풍산지구,건대입구,202310,증가,34.3
풍산지구,건대입구,202311,증가,36.41
풍산지구,건대입구,202312,증가,40.99
풍산지구,건대입구,202401,증가,46.68
풍산지구,건대입구,202402,증가,35.36
풍산지구,건대입구,202403,증가,27.71
한양대,건대입구,202306,증가,41.04
한양대,건대입구,202307,증가,42.86
한양대,건대입구,202308,증가,37.71
한양대,건대입구,202309,증가,34.59
