ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
21752D89FB,영*,행당,건강식품,서울  성동구  행당동,,서울 성동구,20090316,,1_10%이하,5_75-90%,5_75-90%,4_50-75%,3_25-50%,6_상위6구간(하위1구간),,14.637500000000001,74.425,27.40833333333333,53.00416666666666,9.958333333333334,9.612499999999999,0.3547708333333333,0.6579499999999999,2.095920833333333,8.437345833333334,18.974941666666666,0.7952291666666667,1.5503833333333332,4.683245833333333,19.287654166666666,43.16255833333333,10.731250000000001,7.770416666666667,0.0,0.9,99.10000000000001,24,2024-12-01
DA3D8B1FB0,브레*****,알수없음,건강식품,서울  성동구  금호동4가,,서울 성동구,19980124,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,2_10-25%,1_상위1구간,,13.691666666666668,18.5,29.71666666666667,0.0,9.958333333333334,,0.0,0.0,1.8885250000000002,8.101883333333333,16.43209583333333,0.0,0.0,4.053141666666667,22.781449999999996,46.71790416666667,31.9025,5.13875,84.01818181818182,2.272727272727273,13.70909090909091,24,2024-12-01
B4A7FA3204,김정********,왕십리,건강식품,서울 성동구 고산자로 253.,건강식품1,서울 성동구,19961105,,1_10%이하,4_50-75%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,28.266666666666666,14.666666666666666,18.308333333333334,48.81666666666666,9.958333333333334,9.583333333333334,0.25350833333333334,0.14445833333333333,0.18405000000000002,3.5686249999999995,7.158041666666667,1.9964916666666666,0.9638749999999999,1.5576166666666669,27.53554166666667,56.61279166666667,26.7,5.357916666666667,49.86818181818182,11.136363636363637,38.99545454545454,24,2024-12-01
18185E33A8,미스**,압구정로데오,건강식품,서울 성동구 독서당로 287.,,서울 성동구,20220715,,4_50-75%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,0.6666666666666666,1.2916666666666667,65.06666666666666,73.325,9.958333333333334,8.608333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.50588235294117,25.49411764705882,8.823529411764707,17.647058823529413,50.0,0.0,50.0,24,2024-12-01
18822DD6FB,정희*******,금남시장,건강식품,서울 성동구 독서당로 302.,,서울 성동구,20110623,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,3.0875,10.545833333333333,49.57083333333333,72.73333333333333,9.958333333333334,8.529166666666667,1.7439124999999998,3.6293333333333333,4.6219375000000005,6.8713875,9.240354166666666,4.7769208333333335,9.562333333333333,13.886395833333333,19.361945833333333,26.280479166666666,4.03125,8.034583333333334,83.05714285714286,2.380952380952381,14.561904761904762,24,2024-12-01
4DAE33EA04,경희****,왕십리,건강식품,서울 성동구 왕십리로 336.,,서울 성동구,20130401,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,0.775,2.3291666666666666,61.699999999999996,79.47500000000001,9.958333333333334,9.583333333333334,0.0,10.090341666666667,48.938825,0.0,0.0,0.0,5.367991666666668,35.60284166666667,0.0,0.0,20.317083333333333,6.5375000000000005,6.25,0.0,93.75,24,2024-12-01
CA4136E334,와이************,장한평자동차,건강식품,서울 성동구 천호대로 440.,,서울 성동구,20221021,,4_50-75%,1_10%이하,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,360.68333333333334,22.520833333333332,19.904166666666665,24.491666666666664,9.958333333333334,6.370833333333334,1.7595045454545455,13.124681818181818,24.254931818181817,9.27480909090909,7.318227272727273,1.6041318181818183,4.5935,23.963250000000002,7.425190909090909,6.6999545454545455,34.429545454545455,17.51681818181818,0.0,5.7714285714285705,94.22857142857143,24,2024-12-01
4FFDE025F1,정관******,행당,건강식품,서울특별시 성동구 행당로 76,건강식품3,서울 성동구,20220328,,4_50-75%,1_10%이하,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,0.0761904761904762,243.11666666666667,68.22916666666667,2.8708333333333336,8.079166666666667,9.958333333333334,9.612499999999999,1.6783625000000002,6.752325,8.1427625,14.158779166666667,15.9534875,1.8549708333333335,7.710175,9.3197375,16.062054166666666,18.3965125,25.372500000000002,6.227083333333333,75.72083333333333,2.058333333333333,22.22083333333333,24,2024-12-01
62A9B7888B,이롬********,알수없음,건강식품,서울 성동구 마장로39가길 61.,건강식품2,서울 성동구,19991105,,1_10%이하,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,1.8583333333333334,0.22083333333333333,84.47083333333333,0.0,9.958333333333334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,14.285714285714286,0.0,0.0,100.0,24,2024-12-01
3D35397FAB,호주*********,금남시장,건강식품,서울특별시 성동구 장터길 41-1,,서울 성동구,20241209,,6_90%초과(하위 10% 이하),5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,8.4,20.8,73.7,77.6,8.7,8.9,0.0,0.0,0.0,23.025,69.075,0.0,0.0,0.0,1.975,5.925,0.0,100.0,75.0,0.0,25.0,1,2024-12-01
