ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
E8BDFFAD07,도스**,한양대,기타세계요리,서울 성동구 마조로1길 2.,기타세계요리1,서울 성동구,20140220,,2_10-25%,3_25-50%,2_10-25%,2_10-25%,5_75-90%,2_상위2구간,,60.12083333333334,138.75,39.0,46.5375,13.491666666666667,10.095833333333333,52.074616666666664,9.002766666666666,1.6114833333333334,6.402033333333333,0.6984291666666667,22.50871666666667,3.947233333333333,0.7010166666666667,2.7688,0.3057375,35.84166666666667,5.761666666666667,33.345,7.734999999999999,58.915,24,2024-12-01
E811B2836B,도스***,신금호,기타세계요리,서울특별시 성동구 금호산길 59,기타세계요리2,서울 성동구,20200326,,3_25-50%,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,89.31666666666666,11.570833333333333,11.529166666666667,79.4375,60.9,13.491666666666667,9.308333333333334,11.4787375,17.831345833333334,11.129624999999999,4.915283333333334,2.793041666666667,12.404595833333333,18.997820833333332,11.953708333333333,5.538883333333334,2.9444583333333334,19.771666666666665,7.15875,67.81666666666666,7.379166666666666,24.8,24,2024-12-01
FC4D2DC52C,롤앤*,성수,기타세계요리,서울특별시 성동구 연무장길 14,,서울 성동구,20230711,,5_75-90%,3_25-50%,2_10-25%,1_10%이하,4_50-75%,3_상위3구간,0.17500000000000002,211.19444444444446,591.2444444444444,12.944444444444445,21.63888888888889,17.922222222222224,8.261111111111111,15.942427777777779,5.838683333333333,3.1083499999999997,2.1832166666666666,0.3583055555555556,42.25201666666666,15.405761111111111,8.180538888888888,5.772338888888889,0.9305833333333333,8.448333333333332,15.83,12.8875,5.7125,81.43125,18,2024-12-01
153D5AC634,포케*******,알수없음,기타세계요리,서울특별시 성동구 고산자로 194,,서울 성동구,20231129,,5_75-90%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,59.96923076923077,105.03571428571429,104.56428571428572,52.25,0.0,20.714285714285715,,13.571046153846153,8.742153846153846,4.733169230769231,5.360099999999999,1.3037076923076922,26.675107692307694,17.150153846153845,9.320676923076924,10.57066923076923,2.5578307692307694,25.605384615384615,24.763076923076923,52.823076923076925,11.884615384615385,35.276923076923076,14,2024-12-01
56355334E5,레몬***********,알수없음,기타세계요리,서울특별시 성동구 왕십리로 381,,서울 성동구,20240223,,5_75-90%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,26.87777777777778,194.8181818181818,98.46363636363635,41.6,0.0,21.027272727272727,,6.945736363636363,13.156854545454546,18.92340909090909,7.041781818181818,2.7513636363636365,8.917900000000001,16.99769090909091,12.640227272727271,9.058218181818182,3.548636363636364,12.905454545454546,37.85727272727273,37.845454545454544,8.963636363636363,53.18181818181818,11,2024-12-01
E8869D79C1,미분*,알수없음,기타세계요리,서울특별시 성동구 왕십리로 410,,서울 성동구,20201217,,4_50-75%,1_10%이하,1_10%이하,1_10%이하,4_50-75%,3_상위3구간,,517.4833333333333,588.7624999999999,1.5708333333333335,0.0,18.941666666666666,,8.787408333333333,15.579883333333333,10.256675,6.228466666666667,2.8782416666666664,11.295924999999999,20.05345,13.205824999999999,8.0132,3.7134250000000004,38.010416666666664,6.297916666666667,38.520833333333336,7.029166666666666,54.45416666666667,24,2024-12-01
CA60093BA7,달콤***********,답십리,기타세계요리,서울특별시 성동구 천호대로 312,,서울 성동구,20230807,,5_75-90%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),5_상위5구간,31.025000000000002,96.17058823529412,318.4294117647059,33.43529411764706,23.358823529411765,20.058823529411764,7.98235294117647,15.272147058823531,8.799041176470588,7.204241176470588,3.2646823529411764,0.6814882352941176,28.09255882352941,16.177429411764706,13.236935294117648,6.011788235294118,1.2538058823529412,28.70235294117647,13.271176470588236,20.138461538461538,6.93076923076923,72.93846153846154,17,2024-12-01
2DD4A5D048,포케*******,성수,기타세계요리,서울특별시 성동구 뚝섬로11길 21,,서울 성동구,20230822,,5_75-90%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,4_상위4구간,39.4125,189.78235294117647,221.67058823529413,30.129411764705885,23.86470588235294,20.058823529411764,8.235294117647058,14.374,9.6726625,1.79235625,1.84469375,0.588625,36.48225,24.4898375,4.55139375,4.6740562500000005,1.498875,27.859375,18.829375,9.70625,30.5,59.7875,17,2024-12-01
3AC0517B5B,미분*****,성수,기타세계요리,서울특별시 성동구 성수일로10길 26,,서울 성동구,20230613,,5_75-90%,2_10-25%,2_10-25%,1_10%이하,4_50-75%,2_상위2구간,5.3125,161.26315789473685,223.70000000000002,27.531578947368423,23.49473684210526,20.86315789473684,8.284210526315789,14.14496842105263,17.9317,7.846742105263158,5.264073684210526,1.2702473684210525,16.260294736842106,20.6683,9.090100000000001,6.062242105263158,1.4613315789473684,28.059473684210527,19.257894736842104,16.86842105263158,37.45789473684211,45.694736842105264,19,2024-12-01
EFE2BD2AEE,갓잇*********,왕십리,기타세계요리,서울특별시 성동구 왕십리광장로 17,,서울 성동구,20240222,,5_75-90%,1_10%이하,2_10-25%,1_10%이하,3_25-50%,1_상위1구간,,602.1545454545454,370.0,14.963636363636363,19.327272727272728,18.145454545454545,9.272727272727273,9.01511,11.44192,7.598140000000001,5.2194400000000005,1.4588100000000002,16.90489,21.55808,14.321860000000001,9.79056,2.70119,7.897,27.403999999999996,39.36,8.809999999999999,51.839999999999996,11,2024-12-01
260F71BF9B,올드**,성수,기타세계요리,서울특별시 성동구 성수일로10가길 4,,서울 성동구,20240206,20250722.0,5_75-90%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,1_상위1구간,35.75454545454546,33.22727272727273,77.61818181818181,78.76363636363637,49.41818181818182,21.027272727272727,8.018181818181818,9.865527272727274,12.438754545454545,7.2298,5.756145454545455,1.252390909090909,17.161745454545454,21.597609090909092,12.552018181818182,9.98930909090909,2.147609090909091,25.395454545454548,28.05,17.69090909090909,38.28181818181818,44.02727272727273,11,2024-12-01
4C8A0648B0,갓잇**************,뚝섬,기타세계요리,서울특별시 성동구 왕십리로10길 9-14,,서울 성동구,20231220,,5_75-90%,1_10%이하,3_25-50%,2_10-25%,2_10-25%,3_상위3구간,20.708333333333332,390.0,230.53076923076924,17.046153846153846,19.5,18.03076923076923,8.2,14.888475,10.811875,4.047075,3.4951333333333334,0.8156249999999999,28.836524999999998,20.813125,7.861258333333333,6.8382000000000005,1.5927083333333334,4.2475,25.224166666666665,12.858333333333334,10.316666666666666,76.83333333333333,13,2024-12-01
