ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
9350A78BD7,동방***,한양대,꼬치구이,서울 성동구 마조로 33,,서울 성동구,20140721,,2_10-25%,1_10%이하,3_25-50%,3_25-50%,2_10-25%,6_상위6구간(하위1구간),,436.39166666666665,321.78749999999997,1.7041666666666666,9.195833333333333,13.929166666666667,10.095833333333333,30.044633333333334,20.478025,6.311370833333334,5.4277750000000005,1.3640291666666666,17.1512,11.705308333333333,3.6094625,3.1013916666666668,0.7818041666666667,14.782083333333333,6.80875,32.53333333333333,12.783333333333333,54.699999999999996,24,2024-12-01
F1F48E332E,한양****,한양대,꼬치구이,서울 성동구 마조로1가길 20,,서울 성동구,20100311,,1_10%이하,2_10-25%,3_25-50%,3_25-50%,2_10-25%,1_상위1구간,0.0,340.0083333333333,210.34166666666667,2.5791666666666666,10.674999999999999,18.3875,10.095833333333333,37.1532875,22.463229166666665,7.0895375,5.281666666666667,1.6074708333333334,13.3342125,8.0534375,2.5437958333333333,1.8891666666666669,0.5716958333333334,10.744583333333333,6.607083333333333,31.025000000000002,9.0375,59.95416666666667,24,2024-12-01
FB709A768C,남매***,왕십리,꼬치구이,서울 성동구 행당로17길 26.,,서울 성동구,20160111,,2_10-25%,2_10-25%,4_50-75%,3_25-50%,2_10-25%,1_상위1구간,,198.07500000000002,150.97083333333333,9.5875,18.5,13.9625,9.583333333333334,9.3138375,15.632866666666667,17.79585416666667,14.758058333333333,5.226204166666666,5.527829166666667,9.2713,10.5958125,8.775275,3.0862958333333332,19.120833333333334,6.892499999999999,57.05833333333334,5.9875,36.94583333333333,24,2024-12-01
F1B5E625FC,투다****,성수,꼬치구이,서울 성동구 성수이로 32-24.,꼬치구이3,서울 성동구,20090218,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,67.2,95.47083333333335,35.62916666666667,29.962500000000002,13.9625,8.320833333333333,14.324858333333333,18.670829166666667,9.6082125,11.271695833333332,7.001541666666667,9.329308333333334,11.962504166666667,6.1792875,7.149137499999999,4.498458333333333,13.532083333333333,7.1866666666666665,34.704166666666666,11.191666666666668,54.09583333333333,24,2024-12-01
DE5FF7193C,용답****,답십리,꼬치구이,서울 성동구 용답중앙13길 9.,,서울 성동구,20141114,,2_10-25%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,139.45833333333334,95.3,15.287500000000001,14.4125,16.658333333333335,8.266666666666667,13.7558375,18.27625,19.968454166666668,11.833954166666667,5.884633333333333,5.952495833333334,7.944583333333333,8.664879166666667,5.149379166666667,2.5612,25.703333333333333,6.638333333333333,28.03333333333333,8.154166666666667,63.8125,24,2024-12-01
9FFE31B3A0,길상*******,왕십리,꼬치구이,서울 성동구 행당로17길 19-1.,,서울 성동구,20160718,,3_25-50%,3_25-50%,4_50-75%,4_50-75%,1_10%이하,6_상위6구간(하위1구간),,101.24166666666667,65.125,26.766666666666666,31.6375,13.9625,9.583333333333334,12.486916666666666,27.483024999999998,13.014929166666667,14.430750000000002,8.419720833333333,4.038083333333334,8.658641666666666,4.1517375,4.627583333333333,2.6802791666666668,9.5425,7.7749999999999995,43.85833333333333,5.054166666666666,51.0875,24,2024-12-01
FFF0DAC445,투다*,성수,꼬치구이,서울 성동구 아차산로7길 10-1.,꼬치구이3,서울 성동구,20160704,,3_25-50%,2_10-25%,3_25-50%,2_10-25%,3_25-50%,3_상위3구간,,368.7,420.16249999999997,2.7125,7.254166666666666,13.9625,8.320833333333333,24.2970625,19.31277916666667,6.111016666666667,4.057966666666666,1.3552583333333335,19.7029375,15.783054166666666,4.976483333333333,3.3170333333333333,1.103075,9.38,7.53375,18.108333333333334,16.691666666666666,65.20416666666667,24,2024-12-01
6B3F9F91EA,빵양**,성수,꼬치구이,서울특별시 성동구 성덕정15길 3,,서울 성동구,20241122,,6_90%초과(하위 10% 이하),4_50-75%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,25.55,7.9,85.55000000000001,61.55,17.85,8.0,0.0,28.675,32.70435,0.0,16.370649999999998,0.0,8.825,8.94565,0.0,4.47935,8.335,66.66499999999999,62.5,25.0,12.5,2,2024-12-01
43376C6456,이가****,성수,꼬치구이,서울특별시 성동구 아차산로 116,꼬치구이2,서울 성동구,20210521,,4_50-75%,1_10%이하,2_10-25%,1_10%이하,1_10%이하,5_상위5구간,,1511.0083333333332,799.625,0.13333333333333333,1.2875,13.9625,8.320833333333333,20.93359583333333,25.773600000000002,7.133437499999999,4.735120833333333,2.12495,13.583070833333332,16.693066666666667,4.595729166666667,3.064879166666666,1.3708833333333335,11.956666666666665,9.06875,13.470833333333333,14.616666666666667,71.93333333333334,24,2024-12-01
EE79357E42,미미**********,한양대,꼬치구이,서울특별시 성동구 마조로3가길 10,,서울 성동구,20210319,,4_50-75%,1_10%이하,3_25-50%,3_25-50%,2_10-25%,1_상위1구간,,260.41249999999997,218.69583333333333,5.829166666666667,18.454166666666666,16.658333333333335,10.095833333333333,44.90071666666666,9.573929166666668,3.2504791666666666,5.072254166666666,0.7427291666666668,25.745116666666664,5.5052375,1.8661874999999999,2.9194125,0.4281041666666667,13.555,7.17875,31.8,3.408333333333333,64.78333333333333,24,2024-12-01
