ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
15EE2AE836,조아*******,금남시장,담배,서울  성동구  금호동3가,,서울 성동구,20110127,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,4_50-75%,6_상위6구간(하위1구간),,12.233333333333334,16.420833333333334,73.05416666666666,60.5375,8.875,8.529166666666667,9.883841666666667,25.143983333333335,8.149524999999999,8.6241875,6.707433333333333,6.928658333333334,17.943516666666667,6.179641666666666,5.5758125000000005,4.871733333333333,22.969166666666666,7.192083333333334,61.1,5.120833333333334,33.78333333333333,24,2024-12-01
8234005757,폰아*************,왕십리,담배,서울 성동구 행당로 129.,,서울 성동구,20150121,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,1.2833333333333334,1.0166666666666668,89.9375,78.26666666666667,8.875,9.583333333333334,6.312874999999999,15.277125,8.472837499999999,10.833695833333332,9.294779166666666,15.487124999999999,11.735375,7.5021625,12.353804166666665,2.7177208333333334,0.0,6.220833333333334,85.71428571428571,0.0,14.285714285714286,24,2024-12-01
74D5125FD6,베스****,뚝섬,담배,서울 성동구 왕십리로 102,,서울 성동구,20100920,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,4_50-75%,1_상위1구간,,6.483333333333333,9.470833333333333,23.516666666666666,58.362500000000004,7.8999999999999995,8.029166666666667,21.599541666666667,31.964266666666663,8.298666666666668,13.947554166666668,10.2830875,3.304625,5.1982333333333335,1.418,2.260779166666667,1.7169125,22.00791666666667,7.048749999999999,52.32083333333333,22.129166666666666,25.545833333333334,24,2024-12-01
E3B9A9EE3A,월드********,한양대,담배,서울특별시 성동구 마조로 22,,서울 성동구,20230714,,5_75-90%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,29.977777777777778,18.450000000000003,40.47222222222222,70.75555555555555,12.511111111111111,10.25,53.7067,10.65683888888889,2.1361944444444445,1.6390833333333332,3.4380888888888888,21.31552222222222,4.559827777777778,0.95825,0.7275833333333334,0.8508,18.076666666666668,22.91166666666667,38.516666666666666,10.105555555555556,51.388888888888886,18,2024-12-01
370B4F40C3,전자**,왕십리,담배,서울 성동구 왕십리광장로 17.,,서울 성동구,20101201,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,4_상위4구간,,201.47083333333333,248.4958333333333,10.775,23.570833333333336,8.875,9.583333333333334,35.412754166666666,18.7487375,8.668179166666667,3.4816375,2.3193958333333335,16.120579166666666,8.622095833333333,3.9401541666666664,1.6183625,1.0764375000000002,34.212916666666665,7.507916666666667,40.25416666666667,10.495833333333334,49.25,24,2024-12-01
1025481D02,나이*****,성수,담배,서울특별시 성동구 아차산로 96,,서울 성동구,20190531,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,74.22500000000001,83.39583333333333,29.241666666666664,31.662499999999998,8.875,8.320833333333333,29.75997083333333,41.156625,10.032716666666667,3.3005875000000002,0.5650583333333333,5.2733625,7.426708333333333,1.8006166666666668,0.5952458333333334,0.10160833333333334,28.38,6.288333333333333,22.6375,26.641666666666666,50.71666666666667,24,2024-12-01
9748DB8705,아이***********,왕십리,담배,서울특별시 성동구 왕십리로 259,담배1,서울 성동구,20180727,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,44.5375,44.125,47.51666666666667,48.60833333333333,8.875,9.583333333333334,29.035141666666664,33.07174166666667,5.1483791666666665,9.830779166666668,5.518933333333333,6.544025,6.503258333333334,1.1724541666666666,2.1275541666666666,1.0477333333333334,35.809999999999995,7.28,53.34166666666667,11.6875,34.983333333333334,24,2024-12-01
BD8A0F6D76,렉스*****,왕십리,담배,서울특별시 성동구 왕십리로 336,,서울 성동구,20211117,,4_50-75%,3_25-50%,4_50-75%,4_50-75%,3_25-50%,6_상위6구간(하위1구간),,93.97083333333335,124.32083333333333,31.795833333333334,40.104166666666664,8.875,9.583333333333334,31.291375000000002,25.7311875,4.529904166666666,4.451233333333334,3.71715,13.587791666666666,11.085479166666667,2.0700958333333332,1.9446,1.5911833333333334,33.015,7.647916666666667,48.737500000000004,6.370833333333334,44.887499999999996,24,2024-12-01
3181D01F3F,상왕****,왕십리,담배,서울특별시 성동구 왕십리로 358,,서울 성동구,20201015,,4_50-75%,4_50-75%,4_50-75%,4_50-75%,2_10-25%,6_상위6구간(하위1구간),,36.358333333333334,38.19166666666667,53.59166666666667,52.31666666666666,8.875,9.583333333333334,21.8903,28.829849999999997,9.652458333333334,5.8771625,2.2087791666666665,10.0847,13.265983333333333,4.622541666666667,2.6353375,0.9370541666666666,35.912083333333335,7.060416666666666,49.625,9.158333333333333,41.229166666666664,24,2024-12-01
C1E11E7838,쿨베***********,성수,담배,서울특별시 성동구 성수이로 34-1,,서울 성동구,20210722,,4_50-75%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,56.57916666666667,56.225,38.237500000000004,35.92916666666667,8.875,8.320833333333333,20.595425000000002,33.618008333333336,9.929954166666667,6.9889125000000005,2.042733333333333,7.504575,12.331991666666667,3.6575458333333333,2.5860875,0.7447666666666667,37.51875,6.201250000000001,37.74583333333333,19.658333333333335,42.62083333333333,24,2024-12-01
