ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
875116B12A,단아**,알수없음,떡/한과 제조,서울  성동구  응봉동,,서울 성동구,20070417,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,6_상위6구간(하위1구간),,25.320833333333336,10.25,53.24166666666667,0.0,13.5875,,1.699366666666667,3.8335125,7.259145833333334,7.513925,16.445633333333333,2.9256333333333333,6.928987500000001,12.495020833333333,13.469408333333334,27.42103333333333,27.13416666666667,7.67625,79.04583333333333,2.2708333333333335,18.691666666666666,24,2024-12-01
CEF3D93273,종로**,행당,떡/한과 제조,서울  성동구  행당동,,서울 성동구,20061026,,1_10%이하,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,87.10833333333333,99.56666666666666,31.191666666666666,24.479166666666668,12.216666666666667,9.612499999999999,1.29115,4.4784375,9.926120833333334,10.056270833333334,8.159275,2.58385,8.617395833333333,19.307212500000002,19.568729166666667,15.994891666666668,37.02916666666667,6.392500000000001,78.59166666666667,2.7291666666666665,18.683333333333334,24,2024-12-01
99A8865F14,백미*,금남시장,떡/한과 제조,서울 성동구 장터길 47,,서울 성동구,20011229,,1_10%이하,3_25-50%,2_10-25%,2_10-25%,5_75-90%,4_상위4구간,,143.54583333333332,160.87083333333334,18.033333333333335,23.45,12.0875,8.529166666666667,1.1404125,4.2764875,6.667691666666666,10.665758333333335,13.069220833333333,2.0470875,7.665179166666667,11.944808333333334,19.12590833333333,23.405779166666665,32.22166666666667,6.587083333333333,71.25,2.3375,26.40833333333333,24,2024-12-01
DA1B23659C,종로**,뚝섬,떡/한과 제조,서울 성동구 상원길 51.,,서울 성동구,20131204,,2_10-25%,3_25-50%,3_25-50%,2_10-25%,4_50-75%,1_상위1구간,7.066666666666666,194.33333333333334,319.5708333333333,9.754166666666666,31.041666666666668,3.908333333333333,8.029166666666667,2.4372291666666666,4.5524875,6.498370833333333,7.168104166666667,8.46815,5.900270833333334,11.039179166666665,15.7474625,17.365229166666666,20.80685,36.43,6.3691666666666675,68.16250000000001,10.820833333333333,21.0125,24,2024-12-01
17725DC7CA,종로**,알수없음,떡/한과 제조,서울  성동구  금호동1가,,서울 성동구,20090206,,1_10%이하,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,255.61666666666667,244.8125,4.704166666666667,0.0,7.208333333333333,,1.0429333333333333,4.3138958333333335,7.118220833333333,9.6973,11.3152375,2.0612333333333335,8.544437499999999,14.135945833333333,19.186033333333334,22.5972625,45.846666666666664,5.572083333333333,79.8875,1.6833333333333333,18.4375,24,2024-12-01
382A324F7A,낙원**,행당,떡/한과 제조,서울 성동구 행당로 87 .,,서울 성동구,20160516,,3_25-50%,1_10%이하,1_10%이하,1_10%이하,3_25-50%,3_상위3구간,,731.3625000000001,761.6125000000001,0.8333333333333334,6.8125,3.908333333333333,9.612499999999999,1.1625875,4.962454166666666,9.1809,10.5738125,9.699379166666667,2.1082458333333336,8.975045833333333,16.627433333333332,19.155354166666665,17.5547875,45.08375,5.96,79.53750000000001,3.0375,17.412499999999998,24,2024-12-01
14FE0A442F,엘림****,알수없음,떡/한과 제조,서울  성동구  하왕십리동,,서울 성동구,20090224,,1_10%이하,6_90%초과(하위 10% 이하),5_75-90%,5_75-90%,5_75-90%,6_상위6구간(하위1구간),,14.75,3.8041666666666667,59.1,0.0,7.208333333333333,,1.7124916666666667,1.5106208333333333,4.124425,10.623183333333333,12.670529166666668,5.816675,1.4685458333333334,7.179741666666668,25.989316666666667,28.90030416666667,28.04125,6.437916666666666,42.96111111111111,5.555555555555555,51.483333333333334,24,2024-12-01
31DE46AC2D,맛있*****,금남시장,떡/한과 제조,서울 성동구 금호산2길 19,,서울 성동구,20111010,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,0.14615384615384613,167.49166666666665,40.80833333333333,17.45,33.199999999999996,3.908333333333333,8.529166666666667,0.9462875,2.628483333333333,3.325483333333333,8.607416666666667,9.8726875,2.674545833333333,7.784016666666667,9.753683333333333,25.575916666666668,28.831479166666668,21.89833333333333,6.997916666666666,70.00416666666666,5.0874999999999995,24.920833333333334,24,2024-12-01
B0FAF5B316,달무*,알수없음,떡/한과 제조,서울 성동구 마장로 296 .,,서울 성동구,20191108,,3_25-50%,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,,42.145833333333336,84.87083333333334,40.983333333333334,0.0,9.279166666666667,,5.0357047619047615,5.788738095238095,5.924590476190476,11.359814285714284,10.84022380952381,7.507152380952381,9.311261904761905,9.051599999999999,18.397328571428574,16.79787142857143,21.200476190476188,18.813809523809525,71.96190476190476,7.3047619047619055,20.742857142857144,24,2024-12-01
A6EDA7FB67,든든****,신금호,떡/한과 제조,서울 성동구 무수막길 94.,,서울 성동구,20161017,,3_25-50%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,4_상위4구간,,105.91250000000001,180.29583333333335,19.608333333333334,40.49583333333333,3.908333333333333,9.308333333333334,1.5501791666666664,4.184958333333333,6.538054166666666,9.809570833333334,10.781808333333332,3.1831541666666667,8.569208333333334,13.5161125,20.032095833333333,21.839025000000003,34.72,6.2825,77.90416666666667,2.0916666666666663,20.020833333333332,24,2024-12-01
2CA32048EF,오복**,성수,떡/한과 제조,서울 성동구 성덕정길 32.,,서울 성동구,20070823,,1_10%이하,2_10-25%,2_10-25%,2_10-25%,4_50-75%,3_상위3구간,,384.5291666666667,417.40000000000003,3.7624999999999997,17.754166666666666,3.8791666666666664,8.320833333333333,4.639983333333333,9.135345833333334,6.707216666666667,6.040775,5.492054166666667,9.826683333333333,19.406320833333336,14.192783333333333,12.859225,11.682945833333333,30.89,7.011666666666667,49.18333333333334,8.479166666666666,42.324999999999996,24,2024-12-01
5998DB8346,십오***,성수,떡/한과 제조,서울 성동구 성덕정길 95.,,서울 성동구,20101213,,2_10-25%,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,,66.39999999999999,37.645833333333336,27.754166666666666,41.24583333333333,3.908333333333333,8.320833333333333,0.6785083333333333,2.1715666666666666,2.5812958333333333,7.0821875,9.04655,2.3964916666666665,8.082600000000001,9.510370833333333,25.4803125,32.97845,30.96666666666667,6.941666666666666,69.38260869565217,9.169565217391305,21.452173913043477,24,2024-12-01
