ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
C26F430D81,삼덕**,알수없음,미곡상,서울 성동구 금호로 86.,,서울 성동구,20130605,,2_10-25%,5_75-90%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,40.65416666666667,61.05416666666667,29.349999999999998,0.0,6.441666666666666,,1.4544916666666667,2.7673875,3.6084,6.5850875,20.724591666666665,2.4080083333333335,5.165945833333333,6.495766666666667,12.1774125,38.604575000000004,40.86083333333333,6.2995833333333335,79.8875,0.3458333333333334,19.775000000000002,24,2024-12-01
81FB160AA4,풍년**,성수,미곡상,서울 성동구 뚝섬로 404,,서울 성동구,20070710,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,4_50-75%,1_상위1구간,,17.533333333333335,82.16666666666667,41.483333333333334,52.0,6.441666666666666,8.320833333333333,12.148545833333332,10.30435,9.683966666666667,15.596975,15.554508333333333,6.0847875,6.52065,6.0452,8.728025,9.353825,32.57958333333333,5.014166666666667,39.824999999999996,20.575,39.604166666666664,24,2024-12-01
CA28FD6B8A,왕십***,행당,미곡상,서울 성동구 행당로 82.,,서울 성동구,20140818,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,5.8125,15.558333333333332,79.45,83.325,6.441666666666666,9.612499999999999,1.8188454545454547,1.6290999999999998,9.601654545454545,5.6642090909090905,9.352609090909091,4.3180000000000005,4.2532000000000005,25.09212727272727,14.45589090909091,23.832554545454546,7.72,28.49727272727273,0.0,0.0,100.0,24,2024-12-01
C21A5454F4,우리**,신금호,미곡상,서울  성동구  금호동2가,,서울 성동구,20110314,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,1.5041666666666667,1.3708333333333333,71.75,82.575,6.441666666666666,9.308333333333334,0.0,0.0,0.0,0.22892916666666666,2.6460708333333334,0.0,0.0,0.0,2.121070833333333,95.00392916666668,67.36041666666667,0.0,100.0,0.0,0.0,24,2024-12-01
8985D82F2F,경북**,금남시장,미곡상,서울 성동구 장터길 39-1,,서울 성동구,19990806,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,,37.137499999999996,77.8875,29.15833333333333,48.65416666666667,6.441666666666666,8.529166666666667,0.8430749999999999,3.0221208333333336,4.4440875,8.897670833333333,28.550183333333333,1.156925,3.3695458333333335,5.3809125,10.3356625,33.987316666666665,26.1675,6.795416666666667,73.64166666666667,3.716666666666667,22.65416666666667,24,2024-12-01
C0CA103816,농부**,왕십리,미곡상,서울 성동구 무학봉길 82.,,서울 성동구,20151231,,2_10-25%,3_25-50%,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,,283.25,98.85416666666667,3.8625000000000003,21.833333333333332,6.441666666666666,9.583333333333334,1.6654708333333332,0.9274541666666667,2.8136208333333332,6.972341666666666,19.617920833333333,3.4803625,1.9850458333333334,5.6822124999999994,15.060991666666666,41.74457916666667,48.23166666666666,4.950833333333333,89.30833333333334,7.133333333333333,3.5708333333333333,24,2024-12-01
29BB814FD2,제부*,알수없음,미곡상,서울 성동구 독서당로 344.,,서울 성동구,20230111,,4_50-75%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,130.89166666666668,344.4875,17.329166666666666,0.0,6.441666666666666,,0.8873666666666667,3.2845333333333335,6.951037500000001,11.633229166666666,11.9718625,1.6792999999999998,6.227966666666667,13.2364625,22.112604166666667,22.036470833333336,34.67458333333334,16.2625,0.05238095238095238,0.7142857142857143,99.23333333333333,24,2024-12-01
BDF140D87B,이천***,답십리,미곡상,서울 성동구 용답15길 10-1,,서울 성동구,20080218,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,53.76666666666667,59.137499999999996,24.337500000000002,44.262499999999996,6.441666666666666,8.266666666666667,0.41458749999999994,2.8999166666666665,3.6520958333333335,9.868645833333334,21.717108333333332,0.6229125,4.150083333333334,5.902070833333333,15.964687499999998,34.803725,50.731249999999996,5.510833333333333,88.39166666666667,0.9916666666666666,10.629166666666666,24,2024-12-01
622D27CE49,대광**,답십리,미곡상,서울 성동구 용답중앙길 12,,서울 성동구,20050411,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,22.054166666666664,32.25833333333333,41.795833333333334,58.24583333333334,6.441666666666666,8.266666666666667,4.007558333333333,2.5029125,10.939320833333333,9.942195833333333,28.094233333333335,2.9216083333333334,2.4054208333333333,9.2065125,8.599470833333333,21.3891,42.81583333333333,5.7775,70.58749999999999,9.345833333333333,20.0625,24,2024-12-01
8D50B47A2E,진하**,알수없음,미곡상,서울특별시 성동구 독서당로59다길 34,,서울 성동구,20170918,,3_25-50%,4_50-75%,4_50-75%,3_25-50%,4_50-75%,1_상위1구간,,154.37083333333334,383.5708333333334,8.629166666666666,0.0,6.441666666666666,,0.41839166666666666,4.2595125000000005,10.3700375,12.922041666666667,11.357566666666665,0.648275,6.5654875,16.034129166666666,19.915458333333333,17.504933333333334,35.501666666666665,6.257083333333334,0.3541666666666667,1.7,97.94583333333333,24,2024-12-01
