ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
149BA1B7C7,써브******,한양대,샌드위치/토스트,서울 성동구 마조로 11,샌드위치/토스트2,서울 성동구,20020121,,1_10%이하,1_10%이하,1_10%이하,1_10%이하,4_50-75%,4_상위4구간,22.004166666666666,502.56666666666666,412.9458333333334,1.8958333333333333,3.954166666666667,13.491666666666667,10.095833333333333,31.5156625,7.1892375,3.612420833333333,6.162483333333333,1.1348458333333333,32.0218375,7.2940958333333334,3.6709125,6.25835,1.1526541666666668,38.47958333333333,5.861249999999999,39.59166666666667,8.174999999999999,52.25,24,2024-12-01
9977D38E3F,이삭***,행당,샌드위치/토스트,서울 성동구 행당로 119,샌드위치/토스트3,서울 성동구,20150430,,2_10-25%,3_25-50%,2_10-25%,2_10-25%,5_75-90%,2_상위2구간,54.95416666666667,109.425,129.19583333333333,22.712500000000002,13.558333333333332,13.491666666666667,9.612499999999999,10.541041666666667,11.993533333333334,12.736070833333335,9.430579166666666,3.3570541666666665,11.392291666666667,12.964799999999999,13.768095833333334,10.190254166666668,3.6262791666666665,33.106249999999996,6.099583333333334,69.97916666666667,5.516666666666667,24.504166666666666,24,2024-12-01
6F0D9A7C86,압구**********,성수,샌드위치/토스트,서울 성동구 성덕정길 77.,,서울 성동구,20240725,,6_90%초과(하위 10% 이하),4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,72.16,39.81666666666667,18.116666666666667,72.61666666666666,53.68333333333334,13.5,8.1,10.303059999999999,26.8228,7.61426,5.05466,7.865219999999999,7.6569400000000005,19.4772,5.68574,3.7653399999999997,5.754779999999999,34.989999999999995,40.826,35.38,22.259999999999998,42.36,6,2024-12-01
FCBC6ED9BA,마이*********,성수,샌드위치/토스트,서울 성동구 성수일로3길 2.,,서울 성동구,20220426,,4_50-75%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,5_상위5구간,42.483333333333334,18.729166666666668,20.579166666666666,59.34166666666667,47.32083333333333,13.012500000000001,8.320833333333333,12.9835875,13.219916666666668,11.145241666666665,5.2972875,2.686175,15.824745833333333,16.188416666666665,13.167258333333335,6.298545833333333,3.2054916666666666,18.67875,9.521666666666667,8.983333333333334,9.68888888888889,81.33333333333333,24,2024-12-01
3CD5747A9B,데일****,성수,샌드위치/토스트,서울 성동구 성수일로8길 5.,,서울 성동구,20220620,,4_50-75%,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,58.69,9.441666666666666,26.454166666666666,62.98333333333333,51.00833333333333,17.016666666666666,8.320833333333333,6.7626083333333336,7.220841666666666,6.6948541666666666,6.637479166666666,1.5242166666666668,16.845724999999998,17.633325,16.692645833333334,16.225020833333335,3.7549499999999996,29.881666666666664,4.9174999999999995,0.335,0.0,99.66499999999999,24,2024-12-01
C59F032CAC,밸런***,한양대,샌드위치/토스트,서울 성동구 왕십리로 223-1,샌드위치/토스트1,서울 성동구,20090421,,1_10%이하,3_25-50%,2_10-25%,2_10-25%,4_50-75%,4_상위4구간,32.225,110.27083333333333,85.1875,23.15833333333333,33.387499999999996,13.491666666666667,10.095833333333333,28.585616666666667,13.409833333333333,8.811020833333332,10.973520833333334,3.3011666666666666,15.285216666666665,7.1985,4.730645833333333,5.897312500000001,1.7779999999999998,28.44,6.876666666666666,35.391666666666666,11.616666666666667,52.979166666666664,24,2024-12-01
3AB4FC1262,미아**,성수,샌드위치/토스트,서울 성동구 연무장5길 9-16.,,서울 성동구,20160510,,3_25-50%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,5_상위5구간,23.633333333333336,185.15833333333333,321.825,9.054166666666667,13.433333333333332,17.070833333333333,8.320833333333333,10.020533333333333,10.300591666666667,3.1482166666666664,1.8758875,0.8264625,28.31696666666667,29.028575,8.885116666666667,5.2657791666666665,2.3193708333333336,17.414166666666667,6.8374999999999995,9.245833333333334,11.566666666666668,79.17916666666666,24,2024-12-01
8ACBECB172,이삭********,한양대,샌드위치/토스트,서울특별시 성동구 마조로 24,샌드위치/토스트3,서울 성동구,20220221,,4_50-75%,3_25-50%,2_10-25%,1_10%이하,4_50-75%,1_상위1구간,33.108333333333334,147.60416666666666,146.81666666666666,17.775000000000002,25.175,13.491666666666667,10.095833333333333,30.592675,9.358125,4.845433333333333,5.929554166666667,1.5267249999999999,27.953158333333334,8.562708333333333,4.429566666666667,5.424612499999999,1.398275,31.673333333333332,6.235833333333333,44.29583333333333,9.483333333333333,46.22083333333333,24,2024-12-01
86263312C9,파머********,한양대,샌드위치/토스트,서울특별시 성동구 마조로 25,,서울 성동구,20241107,,6_90%초과(하위 10% 이하),4_50-75%,3_25-50%,3_25-50%,4_50-75%,4_상위4구간,38.7,42.9,118.55,77.15,76.19999999999999,16.549999999999997,11.7,18.3937,3.1572500000000003,3.9916,3.37255,1.90235,41.2063,7.5927500000000006,8.8084,7.477449999999999,4.1476500000000005,13.105,83.46000000000001,40.0,5.9,54.1,2,2024-12-01
47C9895708,써브********,알수없음,샌드위치/토스트,서울특별시 성동구 금호로 173,샌드위치/토스트2,서울 성동구,20210317,,4_50-75%,2_10-25%,1_10%이하,1_10%이하,4_50-75%,4_상위4구간,28.858333333333334,214.1625,203.0875,11.658333333333333,0.0,13.491666666666667,,10.807016666666668,12.090891666666666,10.499470833333334,6.961629166666667,2.9295000000000004,14.130483333333332,15.863275,13.754695833333335,9.125870833333334,3.8496666666666663,40.129583333333336,5.9054166666666665,61.012499999999996,4.070833333333334,34.90416666666667,24,2024-12-01
