ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
7102ACD438,인덕***,옥수,양식,서울 성동구 매봉길 2.,,서울 성동구,20180117,,3_25-50%,2_10-25%,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,,59.625,13.091666666666667,38.12916666666667,25.504166666666666,17.995833333333334,8.25,8.841725,29.1729,9.151108333333333,4.907466666666667,2.899433333333333,7.933274999999999,23.3771,7.332225,3.9092,2.4630666666666667,3.6641666666666666,8.497083333333334,26.391666666666666,1.8083333333333333,71.80833333333334,24,2024-12-01
0616E5FFD3,마테****,금남시장,양식,서울 성동구 금호로 17.,,서울 성동구,20150320,,2_10-25%,1_10%이하,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,,120.35000000000001,36.479166666666664,16.045833333333334,11.291666666666666,19.337500000000002,8.529166666666667,5.9739875,22.575816666666668,10.651325,6.6555333333333335,4.593725,5.842679166666667,21.970016666666666,10.511175,6.631966666666667,4.602108333333334,8.407083333333334,8.136666666666667,35.458333333333336,3.2083333333333335,61.3375,24,2024-12-01
7727CDA849,코너*,뚝섬,양식,서울 성동구 상원길 64.,,서울 성동구,20191011,,3_25-50%,1_10%이하,3_25-50%,3_25-50%,1_10%이하,1_상위1구간,,145.74583333333334,51.37083333333334,11.737499999999999,13.575000000000001,19.337500000000002,8.029166666666667,21.251033333333336,18.9449625,3.2422583333333335,2.0359000000000003,0.739775,24.886466666666667,21.984204166666668,3.691075,2.3766000000000003,0.8685583333333334,2.6929166666666666,8.545,7.629166666666666,6.8625,85.52499999999999,24,2024-12-01
55F3EC2326,가츠**,알수없음,양식,서울 성동구 금호로 102.,,서울 성동구,20130827,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,86.09166666666665,0.5041666666666668,1.5958333333333332,83.42916666666666,0.0,19.337500000000002,,0.29583333333333334,1.4645791666666668,26.641145833333336,18.936991666666668,50.2114125,0.0,0.022920833333333335,0.8588541666666667,0.35050833333333337,1.2135875,45.61000000000001,3.5966666666666662,84.61538461538461,7.6923076923076925,7.6923076923076925,24,2024-12-01
6F97F23CDB,한*,성수,양식,서울  성동구  성수1가1동,,서울 성동구,20020425,,1_10%이하,6_90%초과(하위 10% 이하),5_75-90%,5_75-90%,4_50-75%,1_상위1구간,,3.6125000000000003,3.545833333333333,74.49166666666666,59.09583333333333,19.337500000000002,8.320833333333333,4.177545833333333,3.0833375000000003,6.327541666666666,16.26480833333333,51.9829125,0.7724541666666666,0.7041624999999999,1.626625,3.197691666666667,11.862920833333334,27.597916666666666,6.290833333333333,86.36818181818181,2.272727272727273,11.359090909090908,24,2024-12-01
25D5913CB4,에그*******,금남시장,양식,서울 성동구 독서당로 274.,,서울 성동구,20190926,,3_25-50%,5_75-90%,4_50-75%,4_50-75%,5_75-90%,1_상위1구간,66.34166666666667,23.849999999999998,117.875,46.416666666666664,37.96666666666667,19.337500000000002,8.529166666666667,8.366429166666666,14.137183333333333,12.1244875,8.924058333333333,6.427133333333334,8.375237499999999,14.125316666666668,12.142179166666667,8.984275,6.3937,32.185,6.175416666666667,64.8625,6.404166666666666,28.733333333333334,24,2024-12-01
F653A2F32F,봄의******,성수,양식,서울 성동구 연무장길 81 .,,서울 성동구,20200511,,3_25-50%,1_10%이하,1_10%이하,1_10%이하,3_25-50%,1_상위1구간,,543.8416666666667,503.46250000000003,1.4000000000000001,4.075,14.841666666666667,8.320833333333333,15.595029166666668,4.5220875000000005,2.8536125,2.4922916666666666,0.44648333333333334,44.7341375,12.894579166666666,8.121387499999999,7.078541666666666,1.2660166666666666,3.0179166666666664,8.533333333333333,3.654166666666667,4.1125,92.24583333333334,24,2024-12-01
A973A20431,더코***,옥수,양식,서울  성동구  한림말3길  8,,서울 성동구,20120518,,2_10-25%,1_10%이하,2_10-25%,2_10-25%,2_10-25%,3_상위3구간,9.795833333333333,437.325,200.07500000000002,2.316666666666667,3.9333333333333336,17.020833333333332,8.25,6.127670833333333,11.344445833333333,10.874341666666666,9.74925,8.453916666666666,7.093162500000001,13.047220833333334,12.467325,11.179916666666665,9.671083333333334,15.11875,7.289583333333333,43.050000000000004,3.1125000000000003,53.84166666666667,24,2024-12-01
1F9B203919,루*,성수,양식,서울 성동구 연무장길 39-25,,서울 성동구,20141226,,2_10-25%,1_10%이하,3_25-50%,3_25-50%,2_10-25%,1_상위1구간,13.325000000000001,86.11666666666667,53.38333333333333,25.016666666666666,22.962500000000002,19.337500000000002,8.320833333333333,20.1206125,15.604508333333333,7.219133333333333,5.910504166666667,2.48265,19.1168875,14.795491666666665,6.8267,5.589495833333333,2.3340166666666664,6.635000000000001,8.790833333333333,4.621739130434783,2.6652173913043478,92.71739130434783,24,2024-12-01
57D0C5916A,미테**,뚝섬,양식,서울 성동구 왕십리로8길 5.,,서울 성동구,20160909,,3_25-50%,1_10%이하,2_10-25%,1_10%이하,3_25-50%,2_상위2구간,11.9375,507.3208333333334,292.34166666666664,1.6708333333333334,4.325,17.020833333333332,8.029166666666667,20.539554166666665,8.598970833333334,5.08355,4.404620833333333,0.9150958333333333,31.4021125,13.151029166666667,7.762283333333333,6.724545833333334,1.3974041666666668,3.7304166666666667,8.153333333333334,6.0874999999999995,6.354166666666667,87.56666666666666,24,2024-12-01
E2718B6445,로이*,알수없음,양식,서울특별시 성동구 장터길 9,,서울 성동구,20171011,,3_25-50%,5_75-90%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,4.704166666666667,1.95,67.32083333333334,0.0,19.337500000000002,,2.6333333333333333,0.0,5.458333333333333,75.6125,16.308333333333334,0.0,0.0,0.0,0.0,0.0,51.74375,4.105416666666667,57.78,0.0,42.22,24,2024-12-01
F0CE500A65,알고*****,신금호,양식,서울특별시 성동구 행당로 6,,서울 성동구,20241213,,6_90%초과(하위 10% 이하),4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,15.0,19.8,35.0,83.9,78.8,16.2,10.5,2.2135,6.6638,7.7589,6.6638,0.0,7.2865,21.9362,25.5411,21.9362,0.0,14.29,100.0,57.1,23.8,19.0,1,2024-12-01
5B4D253AB9,모먼********,미아사거리,양식,서울 성동구 뚝섬로9길 13-1.,,서울 성동구,20240205,,5_75-90%,6_90%초과(하위 10% 이하),5_75-90%,5_75-90%,4_50-75%,1_상위1구간,96.85,0.4636363636363636,0.7545454545454546,86.80909090909091,83.60000000000001,19.545454545454547,12.636363636363637,0.0,5.6274750000000004,0.0,33.035025000000005,0.0,0.0,26.447525,0.0,34.889975,0.0,0.0,28.5425,0.0,0.0,100.0,11,2024-12-01
42334BE576,베로******,풍산지구,양식,서울 성동구 서울숲4길 20-1.,,서울 성동구,20230117,,4_50-75%,4_50-75%,5_75-90%,4_50-75%,2_10-25%,1_상위1구간,,18.475,11.470833333333333,57.63333333333333,48.07083333333333,19.337500000000002,12.775,8.95695,19.6486125,17.165695833333334,9.562520833333332,3.394766666666667,6.41805,13.826387500000001,11.4926375,7.087479166666667,2.4469,11.174166666666666,17.227083333333333,0.9,1.9666666666666668,97.13333333333333,24,2024-12-01
149A2FAFF2,페이***,뚝섬,양식,서울 성동구 서울숲4길 22-1.,,서울 성동구,20111004,,2_10-25%,5_75-90%,4_50-75%,4_50-75%,5_75-90%,1_상위1구간,,39.15,93.07916666666667,29.75,28.3625,19.337500000000002,8.029166666666667,10.968808333333333,14.223233333333333,6.913020833333333,3.7716583333333333,1.6486041666666666,19.897858333333335,23.680933333333332,10.491145833333333,5.915841666666666,2.4763958333333336,14.636666666666668,6.819166666666667,11.629999999999999,17.14,71.22,24,2024-12-01
397AF59B8B,크레***********,성수,양식,서울 성동구 성수일로8길 47.,,서울 성동구,20151201,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,44.76666666666667,122.02083333333333,35.65416666666667,30.27916666666667,19.337500000000002,8.320833333333333,7.079045833333333,7.985195833333333,10.891729166666666,4.816120833333334,4.0863625,13.2167875,15.006470833333333,20.420770833333332,8.929712499999999,7.567804166666666,37.37208333333333,6.23,45.275,15.700000000000001,39.025,24,2024-12-01
9A64F9D3E4,타코***,성수,양식,서울 성동구 연무장길 39-13.,,서울 성동구,20200727,,3_25-50%,2_10-25%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,8.052380952380952,204.95416666666665,267.74583333333334,9.758333333333333,14.083333333333334,17.020833333333332,8.320833333333333,14.402495833333333,14.873629166666667,5.711141666666666,3.33665,0.8565666666666667,22.4433375,23.134704166666666,8.768025,5.159183333333334,1.3184333333333333,25.25583333333333,8.1075,17.099999999999998,20.729166666666668,62.17083333333333,24,2024-12-01
3227432B79,옵션*,한양대,양식,서울특별시 성동구 마조로 11,,서울 성동구,20230721,,5_75-90%,2_10-25%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,29.076470588235296,162.10000000000002,315.9611111111111,25.033333333333335,37.294444444444444,19.47222222222222,10.25,29.81271764705882,6.1390529411764705,4.177788235294118,6.042905882352941,0.6275235294117647,33.86963529411765,6.972711764705883,4.7516235294117655,6.8865058823529415,0.719535294117647,21.037647058823527,21.429411764705883,35.76470588235294,7.805882352941175,56.42941176470588,18,2024-12-01
