ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
1CE1551AF3,브릴*,뚝섬,와인바,서울 성동구 서울숲6길 14.,,서울 성동구,20210430,,4_50-75%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,51.06666666666666,17.9875,33.858333333333334,36.0875,16.904166666666665,8.029166666666667,11.746679166666667,9.956220833333333,2.3147791666666664,0.9652208333333333,0.4640708333333334,34.32832083333333,29.106279166666667,6.868554166666667,2.9347791666666665,1.3192625,8.140416666666667,7.71625,7.617391304347826,2.643478260869565,89.74347826086957,24,2024-12-01
668C9F56AA,컴인**,뚝섬,와인바,서울특별시 성동구 상원길 69,,서울 성동구,20221026,,4_50-75%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,0.43333333333333335,0.2833333333333333,85.51666666666667,71.85000000000001,16.904166666666665,8.029166666666667,6.151083333333333,13.631083333333335,11.253083333333334,4.4230833333333335,0.0,11.365583333333333,24.818916666666667,20.396916666666666,7.960249999999999,0.0,6.770833333333333,1.2816666666666667,40.0,40.0,20.0,24,2024-12-01
C0FFD3E7B0,체체*********,알수없음,와인바,서울특별시 성동구 금호로 80-1,,서울 성동구,20231018,,5_75-90%,3_25-50%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,96.24,17.10666666666667,36.013333333333335,0.0,17.206666666666667,,9.8789,23.4997,13.937293333333333,6.447873333333333,2.15874,7.647766666666667,19.846966666666667,10.069373333333335,4.532126666666667,1.96126,12.187333333333333,23.566,40.86666666666667,2.086666666666667,57.05333333333333,15,2024-12-01
885A9CCE76,모어******,성수,와인바,서울특별시 성동구 둘레11길 26,,서울 성동구,20210630,,4_50-75%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,14.966666666666667,7.300000000000001,48.0,42.112500000000004,15.637500000000001,8.320833333333333,43.49548333333333,28.268845833333334,1.7491833333333335,4.108225,4.3511125,10.008683333333332,5.776987500000001,0.3633166666666667,0.904275,0.9655541666666667,19.685,5.613333333333333,13.218181818181819,18.104545454545455,68.67727272727274,24,2024-12-01
A31F4B0838,모르**,뚝섬,와인바,서울특별시 성동구 상원2길 5-5,,서울 성동구,20200410,,3_25-50%,3_25-50%,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,,33.18333333333333,17.0125,31.45,33.8375,15.637500000000001,8.029166666666667,16.315575,17.402329166666664,0.6721666666666667,0.9367333333333333,0.2381791666666667,29.613591666666665,31.48517083333333,1.2111666666666667,1.7091,0.4243208333333333,4.4679166666666665,6.114583333333333,4.066666666666666,5.183333333333334,90.74583333333334,24,2024-12-01
E9D11C9FFC,브와*,성수,와인바,서울특별시 성동구 성덕정3길 8,,서울 성동구,20230622,,5_75-90%,2_10-25%,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,,111.91578947368421,52.83157894736842,26.689473684210526,26.852631578947367,14.81578947368421,8.284210526315789,22.8293,22.299355555555554,4.911738888888888,3.311977777777778,1.1687055555555554,19.215144444444444,18.000644444444443,4.199372222222222,2.988022222222222,1.0757388888888888,6.980526315789473,24.832105263157896,12.972222222222221,4.611111111111111,82.42777777777778,19,2024-12-01
7A666E6612,뚝도**,뚝섬,와인바,서울특별시 성동구 아차산로 46,,서울 성동구,20221027,,4_50-75%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,83.25416666666666,24.9375,26.420833333333334,30.241666666666664,16.904166666666665,8.029166666666667,18.68645,14.281233333333333,7.841291666666667,5.271958333333333,1.7063875,20.459383333333335,15.568766666666667,8.579541666666666,5.744708333333333,1.8686125,7.852916666666666,10.467083333333333,14.408333333333333,15.0,70.6125,24,2024-12-01
2FB0335820,가뱅*******,금남시장,와인바,서울특별시 성동구 금호산2길 13,,서울 성동구,20201013,20250708.0,4_50-75%,4_50-75%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,12.670833333333334,3.7416666666666667,58.30833333333334,56.75833333333333,16.504166666666666,8.529166666666667,0.0,21.0217375,38.61447916666667,20.722975,2.4191416666666665,0.0,4.561595833333333,7.360520833333333,4.685358333333333,0.6183583333333333,24.879166666666666,7.620833333333334,2.272727272727273,0.0,97.72727272727273,24,2024-12-01
61D516DBB4,어게*************************,옥수,와인바,서울특별시 성동구 독서당로 188,,서울 성동구,20201201,,4_50-75%,2_10-25%,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,,105.85833333333333,49.800000000000004,12.979166666666666,14.683333333333332,15.637500000000001,8.25,6.217766666666667,13.661441666666667,4.536483333333334,1.730975,0.6572,17.14056666666667,36.87189166666666,12.688516666666667,4.739858333333333,1.7553,11.98625,7.297916666666667,20.358333333333334,2.7249999999999996,76.92916666666666,24,2024-12-01
09B5A19D91,금남**************,금남시장,와인바,서울특별시 성동구 독서당로 285,,서울 성동구,20190704,20250714.0,3_25-50%,3_25-50%,4_50-75%,4_50-75%,1_10%이하,6_상위6구간(하위1구간),0.0,71.76666666666667,25.40833333333333,19.3125,19.041666666666668,16.504166666666666,8.529166666666667,4.7192375,27.2723,8.6532625,2.141458333333333,1.3372875000000002,5.989095833333334,34.68186666666667,10.742570833333334,2.7418750000000003,1.7085458333333332,8.17375,7.353333333333333,32.50833333333333,2.4625,65.03333333333333,24,2024-12-01
