ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
F15C05A1D9,신사*******,행당,이자카야,서울 성동구 행당로8길 5.,,서울 성동구,20160719,,3_25-50%,2_10-25%,3_25-50%,3_25-50%,2_10-25%,6_상위6구간(하위1구간),28.183333333333334,141.92499999999998,87.00833333333333,14.566666666666668,8.275,17.979166666666668,9.612499999999999,9.001870833333333,14.653295833333333,20.211483333333334,9.613954166666668,1.8697833333333334,7.239795833333333,11.8050375,16.31351666666667,7.781879166666666,1.5177166666666666,22.852083333333336,6.874583333333334,64.46249999999999,4.858333333333333,30.675,24,2024-12-01
DE2C6A8F93,찌마**,성수,이자카야,서울 성동구 연무장3길 5-1.,,서울 성동구,20190220,,3_25-50%,2_10-25%,4_50-75%,3_25-50%,2_10-25%,5_상위5구간,,90.64999999999999,101.26666666666667,23.854166666666668,16.704166666666666,17.979166666666668,8.320833333333333,19.1145,18.750566666666668,7.637304166666667,4.3562666666666665,1.4607374999999998,18.523,17.707766666666668,7.125195833333334,4.027066666666667,1.3184291666666665,14.066666666666668,7.1308333333333325,8.887500000000001,31.358333333333334,59.75833333333333,24,2024-12-01
64DD526761,꼬치*****,왕십리,이자카야,서울  성동구  무학로2길  44,,서울 성동구,20120905,,2_10-25%,2_10-25%,3_25-50%,3_25-50%,2_10-25%,5_상위5구간,,192.35,178.1916666666667,12.158333333333333,20.933333333333334,13.9625,9.583333333333334,18.834608333333332,23.1689875,12.387908333333334,8.838720833333333,1.3131083333333333,10.357058333333333,12.839345833333333,6.695425,4.848779166666667,0.7243916666666667,5.425833333333333,8.667916666666667,20.420833333333334,7.179166666666667,72.39999999999999,24,2024-12-01
3C9076A1D4,쇼*,한양대,이자카야,서울 성동구 마조로5길 4-10.,,서울 성동구,20080626,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,132.975,327.54583333333335,10.987499999999999,36.208333333333336,19.929166666666667,10.095833333333333,27.41315,26.09884166666667,10.649883333333333,5.8921,1.3075833333333333,11.045183333333334,10.467825,4.23345,2.3370666666666664,0.5424166666666667,2.75625,6.30875,16.625,6.758333333333333,76.60416666666667,24,2024-12-01
953592B09D,쿠에**,알수없음,이자카야,서울특별시 성동구 마장로 137,,서울 성동구,20230822,,5_75-90%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,27.970588235294116,28.27058823529412,70.34117647058824,0.0,18.376470588235293,,15.517988235294116,17.533976470588236,15.494041176470589,13.618088235294117,2.222294117647059,9.082011764705882,10.854258823529412,9.688311764705883,4.717205882352941,1.2777058823529412,24.000588235294117,27.028823529411767,34.91875,6.14375,58.95625,17,2024-12-01
E06F67F152,현*,뚝섬,이자카야,서울특별시 성동구 상원10길 9,,서울 성동구,20171212,,3_25-50%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,47.0625,33.55416666666667,44.13333333333333,30.162499999999998,17.979166666666668,8.029166666666667,14.942450000000001,32.04658333333333,10.538120833333332,5.4698166666666665,1.82085,8.149216666666666,17.38675,5.699379166666667,2.9760166666666668,0.9791500000000001,17.274166666666666,7.128333333333334,34.4,18.9875,46.625,24,2024-12-01
C3CE191BFB,미*,금남시장,이자카야,서울특별시 성동구 금호산2길 3,,서울 성동구,20190603,,3_25-50%,3_25-50%,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,0.0,120.8,32.59583333333333,14.641666666666666,13.641666666666666,16.904166666666665,8.529166666666667,10.073058333333334,30.2796625,13.305675,5.845295833333334,2.3599125,6.318608333333334,18.6453375,8.098491666666666,3.5963708333333333,1.4859208333333334,7.73875,6.742083333333333,42.98333333333333,2.1416666666666666,54.87916666666666,24,2024-12-01
248ED10705,타코***,성수,이자카야,서울특별시 성동구 성덕정길 75,,서울 성동구,20230802,,5_75-90%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,16.383333333333333,8.705882352941176,29.558823529411764,78.84705882352942,53.09411764705882,18.13529411764706,8.235294117647058,11.023623529411765,13.710864705882353,4.0629647058823535,2.917470588235294,0.5983411764705882,23.011670588235294,28.6009,8.484094117647059,6.317823529411765,1.295776470588235,18.087058823529414,16.54470588235294,49.22222222222222,3.3111111111111113,47.47777777777778,17,2024-12-01
6958CB3DC0,이로*,성수,이자카야,서울특별시 성동구 연무장길 12,,서울 성동구,20190409,,3_25-50%,1_10%이하,3_25-50%,2_10-25%,2_10-25%,1_상위1구간,,298.30833333333334,188.1,3.420833333333333,3.608333333333333,17.979166666666668,8.320833333333333,26.013562500000003,12.770395833333334,2.1014583333333334,2.019295833333333,0.40595833333333337,34.0739375,16.692104166666667,2.7485416666666667,2.6432041666666666,0.527375,4.67375,7.314583333333334,7.6875,8.987499999999999,83.3125,24,2024-12-01
37EDF0B2C1,쿠*,금남시장,이자카야,서울특별시 성동구 장터길 28-1,,서울 성동구,20190715,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,61.51666666666667,56.525,38.233333333333334,19.8,17.979166666666668,8.529166666666667,15.930958333333335,19.151741666666666,13.005474999999999,8.365133333333334,3.4957958333333337,10.681541666666666,12.727424999999998,8.732025,5.555700000000001,2.3667041666666666,16.840833333333332,7.905833333333334,56.34166666666667,3.454166666666666,40.2125,24,2024-12-01
785B99118A,오츠**,금남시장,이자카야,서울특별시 성동구 장터길 44-2,,서울 성동구,20210319,,4_50-75%,2_10-25%,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,61.12083333333334,149.475,37.862500000000004,11.512500000000001,11.058333333333332,16.904166666666665,8.529166666666667,10.471320833333333,24.619516666666666,12.756629166666668,4.435708333333333,2.0263208333333336,8.757845833333333,20.730483333333336,10.755870833333333,3.7267916666666667,1.6986791666666665,10.014166666666666,7.390000000000001,41.858333333333334,3.5416666666666665,54.612500000000004,24,2024-12-01
3573438877,문토******,왕십리,이자카야,서울특별시 성동구 고산자로 297,,서울 성동구,20241122,,6_90%초과(하위 10% 이하),2_10-25%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,72.4,96.35,78.80000000000001,62.7,18.15,9.4,19.70785,16.0916,9.0624,7.0292,2.50895,16.54215,13.5084,7.4376,6.0708,2.0410500000000003,0.695,89.58500000000001,40.1,4.3,55.599999999999994,2,2024-12-01
