ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
147235F3A5,돈까*,옥수,일식-덮밥/돈가스,서울  성동구  옥수2동,,서울 성동구,20070314,,1_10%이하,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,25.7,22.2375,48.05416666666667,51.55833333333334,47.39166666666667,16.904166666666665,8.25,9.414787500000001,15.5548,12.891425,18.41262083333333,10.644133333333334,4.6477125,7.711866666666666,6.337741666666666,9.162379166666666,5.2308666666666666,20.660416666666666,6.84625,28.129166666666666,7.050000000000001,64.83333333333333,24,2024-12-01
AA062AE1FC,호타*,뚝섬,일식-덮밥/돈가스,서울 성동구 상원6길 6-1,,서울 성동구,20100517,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,78.675,215.77916666666667,27.141666666666666,20.345833333333335,17.979166666666668,8.029166666666667,11.860154166666668,17.253508333333333,11.250420833333335,8.4605875,3.2880541666666665,10.860679166666666,15.863158333333333,10.3579125,7.781079166666667,3.0327791666666664,35.06125,5.805416666666667,30.575,36.675000000000004,32.74583333333333,24,2024-12-01
F8A9873648,돈쫄******,한양대,일식-덮밥/돈가스,서울 성동구 마조로 15-2.,,서울 성동구,20170221,,3_25-50%,5_75-90%,4_50-75%,4_50-75%,5_75-90%,1_상위1구간,0.0,12.679166666666667,48.50416666666666,65.37916666666666,72.79583333333333,18.883333333333333,10.095833333333333,31.863033333333334,31.697208333333332,2.8839875,3.52115,1.0294208333333332,11.236966666666667,14.386125,2.1410125,0.9121833333333332,0.3455791666666667,51.905,10.683749999999998,28.42105263157895,3.4368421052631577,68.13684210526316,24,2024-12-01
98C1A0A96B,행*,한양대,일식-덮밥/돈가스,서울 성동구 마조로1길 2.,,서울 성동구,20140205,,2_10-25%,2_10-25%,1_10%이하,1_10%이하,4_50-75%,2_상위2구간,,279.6458333333333,934.1125000000001,5.220833333333333,15.883333333333333,19.8625,10.095833333333333,28.5388375,16.901708333333335,11.656604166666666,8.595633333333334,3.3491625000000003,12.815329166666666,7.577458333333333,5.2225624999999996,3.854366666666667,1.5008375,25.21291666666667,6.881666666666667,39.84166666666667,9.1,51.041666666666664,24,2024-12-01
498B5C1AB7,셰프*****,한양대,일식-덮밥/돈가스,서울 성동구 사근동길 68.,,서울 성동구,20160627,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,22.791666666666668,44.15,91.60000000000001,35.9,57.55833333333334,16.904166666666665,10.095833333333333,31.2786625,8.1964125,7.843791666666667,7.380199999999999,2.1638041666666665,23.613004166666666,6.2994208333333335,5.8937083333333335,5.678133333333334,1.6611958333333332,31.00583333333333,6.29,34.125,12.629166666666668,53.24166666666667,24,2024-12-01
1F0AAE3EBE,윤*,뚝섬,일식-덮밥/돈가스,서울 성동구 성수일로 99.,,서울 성동구,20191211,,3_25-50%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,55.12083333333334,173.01666666666665,38.762499999999996,26.916666666666668,17.979166666666668,8.029166666666667,21.760616666666667,26.419237499999998,11.940666666666667,6.148758333333333,1.2596208333333332,10.25605,12.801595833333332,5.821833333333333,2.9595749999999996,0.6195458333333334,39.778749999999995,6.146666666666667,9.174999999999999,46.65416666666667,44.18333333333334,24,2024-12-01
234A71B7B5,돈앤*,알수없음,일식-덮밥/돈가스,서울 성동구 독서당로 378.,,서울 성동구,20210714,,4_50-75%,5_75-90%,4_50-75%,4_50-75%,4_50-75%,6_상위6구간(하위1구간),39.625,20.079166666666666,33.3375,53.729166666666664,0.0,16.904166666666665,,4.4276333333333335,9.202816666666667,11.593083333333333,11.078183333333333,7.077441666666666,6.180699999999999,11.972183333333334,15.331916666666666,14.146816666666666,8.980891666666666,29.80541666666667,5.708333333333333,84.54583333333333,4.6375,10.833333333333334,24,2024-12-01
6EFA1D03C5,본초***,한양대,일식-덮밥/돈가스,서울 성동구 왕십리로 215.,,서울 성동구,20130319,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,5_상위5구간,,61.44583333333333,134.59166666666667,29.608333333333334,52.708333333333336,16.904166666666665,10.095833333333333,33.399929166666666,18.09235,8.195479166666667,8.5826,2.1409291666666665,14.0792375,7.574316666666667,3.429520833333333,3.6090666666666666,0.9007375,27.185000000000002,6.375416666666666,25.675,18.608333333333334,55.72083333333333,24,2024-12-01
FBC1A0EE75,카츠*,알수없음,일식-덮밥/돈가스,서울 성동구 왕십리로 410.,,서울 성동구,20170308,,3_25-50%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,15.695833333333333,106.49583333333334,217.95416666666665,16.866666666666667,0.0,18.883333333333333,,8.20885,12.495745833333332,12.874545833333334,8.9412875,5.010641666666667,9.07865,13.804254166666666,14.217120833333333,9.875379166666667,5.506025,26.337500000000002,6.424166666666667,44.26666666666667,10.320833333333333,45.42083333333333,24,2024-12-01
BFA2953286,여러**********,왕십리,일식-덮밥/돈가스,서울 성동구 무학봉25길 20.,,서울 성동구,20240228,,5_75-90%,5_75-90%,5_75-90%,5_75-90%,4_50-75%,1_상위1구간,,0.6272727272727273,0.9181818181818181,73.35454545454546,81.84545454545456,12.536363636363637,9.272727272727273,0.8525,1.705,0.8525,16.705000000000002,46.705,0.3975,0.795,0.3975,15.794999999999998,15.794999999999998,0.0,23.0,55.56666666666666,5.566666666666666,38.9,11,2024-12-01
