ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
52BE681A0A,미네***,한양대,일식-우동/소바/라면,서울 성동구 사근동 178,,서울 성동구,20161014,,3_25-50%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,4.554166666666666,58.29583333333333,165.05416666666667,35.34166666666667,48.97083333333333,19.558333333333334,10.095833333333333,26.562929166666667,4.668316666666667,5.067308333333334,8.620304166666667,0.8759875,31.507904166666666,5.544183333333333,5.9493583333333335,10.175529166666667,1.0448458333333333,30.055833333333336,7.017499999999999,23.15416666666667,13.466666666666667,63.38333333333333,24,2024-12-01
295F86E07D,길동*******,금남시장,일식-우동/소바/라면,서울특별시 성동구 장터길 33,,서울 성동구,20181026,,3_25-50%,2_10-25%,1_10%이하,1_10%이하,4_50-75%,2_상위2구간,55.395833333333336,271.1041666666667,927.3041666666667,5.3500000000000005,5.170833333333333,18.883333333333333,8.529166666666667,9.122983333333334,13.704104166666667,14.4352375,16.551679166666666,10.344624999999999,5.09785,7.654229166666667,8.0647625,9.2399875,5.7720416666666665,37.0575,6.210833333333333,58.03333333333333,6.675,35.30833333333333,24,2024-12-01
0C67B8EDCF,히토****,한양대,일식-우동/소바/라면,서울특별시 성동구 마조로3길 9,,서울 성동구,20180112,,3_25-50%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,6_상위6구간(하위1구간),,64.90416666666667,213.5,32.145833333333336,39.55833333333333,17.979166666666668,10.095833333333333,32.54655833333333,7.128320833333333,4.79465,6.456475,0.9382083333333333,30.178441666666668,6.592512500000001,4.459516666666667,6.018525,0.8742916666666667,20.405,6.4937499999999995,29.366666666666664,8.383333333333333,62.25416666666666,24,2024-12-01
F6B42598BE,길동**,성수,일식-우동/소바/라면,서울특별시 성동구 연무장길 44,,서울 성동구,20180723,,3_25-50%,1_10%이하,1_10%이하,1_10%이하,4_50-75%,2_상위2구간,1.3416666666666668,472.0333333333333,964.8916666666668,1.9625000000000001,4.145833333333333,16.904166666666665,8.320833333333333,18.178233333333335,14.661833333333334,9.02495,7.3973375,2.86505,16.7176,13.434,8.291716666666668,6.8026625,2.6307833333333335,18.39,7.723333333333334,11.841666666666667,12.841666666666667,75.3125,24,2024-12-01
AD5BBEFD72,왕십********,한양대,일식-우동/소바/라면,서울특별시 성동구 마조로1길 41,,서울 성동구,20220218,,4_50-75%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,16.006666666666668,34.12916666666667,131.03333333333333,33.891666666666666,54.041666666666664,18.883333333333333,10.095833333333333,25.392233333333333,16.600625,7.860545833333333,6.577833333333333,2.9313708333333337,17.516099999999998,11.449375000000002,5.368620833333334,4.4555,1.8477958333333333,12.367083333333333,2.8654166666666665,33.50666666666667,6.02,60.46666666666667,24,2024-12-01
AA24604161,오코*******,행당,일식-우동/소바/라면,서울특별시 성동구 행당로 119-6,,서울 성동구,20170313,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,52.416666666666664,36.645833333333336,38.4,26.620833333333334,17.479166666666668,9.612499999999999,16.9875,24.431412499999997,17.7495875,10.354154166666666,1.8119333333333334,6.829166666666667,9.814420833333333,7.1254124999999995,4.1625125,0.7297333333333333,11.232916666666666,7.190416666666667,55.98333333333333,5.0375,38.97083333333333,24,2024-12-01
A479497AF2,록*,성수,일식-우동/소바/라면,서울특별시 성동구 성수일로3길 2,,서울 성동구,20200814,,3_25-50%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,,135.79166666666666,260.0125,13.783333333333333,17.854166666666668,16.904166666666665,8.320833333333333,21.137416666666667,20.380170833333334,6.417333333333333,3.6211249999999997,0.9794125,19.045916666666667,18.3906625,5.824333333333333,3.2872083333333335,0.9039208333333333,25.537916666666664,6.90875,17.3125,27.041666666666668,55.645833333333336,24,2024-12-01
49D7D6044C,멘노**,성수,일식-우동/소바/라면,서울특별시 성동구 연무장5가길 7,,서울 성동구,20240426,,5_75-90%,1_10%이하,1_10%이하,1_10%이하,4_50-75%,4_상위4구간,,192.02222222222224,546.6333333333333,40.2,27.81111111111111,18.41111111111111,8.022222222222222,20.7798125,18.8926375,6.485087500000001,3.6819125,1.0982125,20.0826875,18.1573625,6.2149125,3.5555875,1.0517875,20.45,33.4025,8.375,21.45,70.1875,9,2024-12-01
58168DBBE0,못말****,답십리,일식-우동/소바/라면,서울특별시 성동구 용답25다길 23,,서울 성동구,20190314,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,8.245833333333334,50.8375,104.15833333333335,39.71666666666667,27.933333333333334,17.479166666666668,8.266666666666667,13.470291666666666,12.728074999999999,9.850054166666666,11.992683333333332,8.745029166666667,10.271375,9.667758333333333,7.4916125,9.123983333333333,6.642470833333333,21.1925,6.960833333333333,42.55833333333333,9.354166666666666,48.1,24,2024-12-01
32B3B5A4E4,소바******,성수,일식-우동/소바/라면,서울특별시 성동구 연무장길 39-15,,서울 성동구,20230809,,5_75-90%,2_10-25%,3_25-50%,3_25-50%,3_25-50%,6_상위6구간(하위1구간),,119.65294117647058,169.3764705882353,40.65294117647059,26.935294117647057,18.376470588235293,8.235294117647058,15.866523529411765,15.781770588235293,5.719741176470588,5.2669411764705885,2.2673411764705884,19.162888235294115,19.22999411764706,7.021435294117647,6.691882352941176,2.9561882352941176,8.83235294117647,26.32294117647059,9.74705882352941,11.064705882352941,79.19411764705882,17,2024-12-01
