ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
946BE40BF1,토리********,한양대,일식당,서울 성동구 마조로 25,,서울 성동구,20150911,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,0.0,173.725,170.84166666666667,14.229166666666666,27.870833333333334,17.579166666666666,10.095833333333333,34.04689583333333,12.327758333333334,5.196945833333333,4.417529166666667,1.1515708333333332,25.519770833333336,9.326408333333333,3.8863875,3.2866375,0.8525958333333333,16.04375,6.4366666666666665,39.108333333333334,7.195833333333333,53.69583333333333,24,2024-12-01
F5F6298388,동호**,답십리,일식당,서울 성동구 용답동 5-3,,서울 성동구,19960112,,1_10%이하,1_10%이하,3_25-50%,3_25-50%,1_10%이하,5_상위5구간,,260.75,139.71666666666667,5.083333333333333,3.5,17.979166666666668,8.266666666666667,1.1994624999999999,5.0767541666666665,11.01715,25.0065,26.783145833333332,0.5380375000000001,2.2774125,4.966183333333333,11.206000000000001,11.929354166666668,26.84375,6.211666666666666,13.3125,14.0375,72.65833333333333,24,2024-12-01
E32B3F96D3,우마************,알수없음,일식당,서울 성동구 동일로 143.,,서울 성동구,20090720,,1_10%이하,4_50-75%,4_50-75%,3_25-50%,3_25-50%,5_상위5구간,4.595833333333333,64.44166666666666,118.85000000000001,25.95,0.0,19.337500000000002,,20.442216666666667,17.6284625,7.0768375,4.395091666666667,1.3433541666666666,19.711949999999998,17.00487083333333,6.856495833333334,4.254908333333334,1.3066458333333333,14.836666666666666,7.054166666666667,6.9750000000000005,22.316666666666666,70.70833333333333,24,2024-12-01
C02F2D3CAA,안수*,알수없음,일식당,서울 성동구 마장로 137.,,서울 성동구,20210709,,4_50-75%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,59.324999999999996,83.55416666666666,52.4625,44.9,0.0,17.979166666666668,,9.428991666666667,22.877208333333332,14.962312500000001,5.552920833333334,2.527058333333333,7.691841666666666,17.943625,12.254354166666667,4.630412499999999,2.143775,14.231666666666667,11.704583333333334,24.954545454545453,3.4863636363636363,71.55,24,2024-12-01
A0FFF7EBFF,태평***,알수없음,일식당,서울 성동구 마장로 185.,,서울 성동구,20141229,,2_10-25%,1_10%이하,3_25-50%,3_25-50%,1_10%이하,1_상위1구간,,170.54999999999998,88.35000000000001,10.508333333333333,0.0,9.291666666666666,,1.521625,5.0117875,9.843929166666667,17.66499166666667,23.863445833333333,1.1117083333333333,3.6632125,7.1977375,12.943341666666667,17.1948875,22.127916666666668,6.465,58.00416666666666,9.491666666666667,32.50416666666667,24,2024-12-01
2BB4EF9F37,별바*,알수없음,일식당,서울 성동구 마장로 328.,,서울 성동구,20031001,,1_10%이하,1_10%이하,2_10-25%,2_10-25%,1_10%이하,3_상위3구간,48.824999999999996,251.22916666666666,156.07916666666668,6.195833333333333,0.0,17.979166666666668,,6.050245833333334,11.446604166666667,14.342775000000001,16.355241666666668,17.176054166666667,3.2247541666666666,6.065895833333333,7.582225,8.661425,9.094779166666667,24.664166666666663,6.83625,47.512499999999996,12.283333333333333,40.204166666666666,24,2024-12-01
ECD810DC58,토상**,왕십리,일식당,서울 성동구 무학봉길 88,,서울 성동구,20000925,,1_10%이하,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,81.8125,34.61666666666667,29.645833333333332,29.125,17.579166666666666,9.583333333333334,20.782354166666668,29.0082125,11.44095,9.5257625,4.893775000000001,6.713479166666667,9.3542875,3.6548833333333337,3.0742375,1.5478916666666667,5.704166666666667,8.82625,32.145833333333336,7.1625000000000005,60.69583333333333,24,2024-12-01
20A41DB343,야끼****,뚝섬,일식당,서울 성동구 상원1길 33.,,서울 성동구,20190531,,3_25-50%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,52.333333333333336,29.325,39.68333333333333,27.445833333333336,17.979166666666668,8.029166666666667,16.538404166666666,24.541820833333333,10.1003875,3.903070833333333,1.084225,12.849095833333331,19.120679166666665,7.970445833333333,3.034429166666667,0.8449416666666667,6.8566666666666665,7.160416666666666,15.533333333333333,18.345833333333335,66.13333333333334,24,2024-12-01
D395BA1A40,10**,성수,일식당,서울 성동구 뚝섬로 341-8,,서울 성동구,20100607,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,5_상위5구간,1.2166666666666666,44.57916666666667,94.17916666666667,44.55416666666667,27.15833333333333,17.979166666666668,8.320833333333333,14.105041666666667,16.286379166666666,15.708458333333333,11.138937499999999,7.060108333333333,7.661625,9.105287500000001,8.683208333333333,6.252729166666668,3.989891666666667,39.13458333333333,6.090833333333333,21.5,44.50833333333333,33.987500000000004,24,2024-12-01
2D7EEFFB71,뚝도**,성수,일식당,서울 성동구 성수이로 31.,,서울 성동구,20160511,,3_25-50%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,6_상위6구간(하위1구간),,23.441666666666666,17.033333333333335,58.56666666666666,43.80833333333334,9.291666666666666,8.320833333333333,15.959754166666668,19.4180125,14.9090875,12.4241375,5.859758333333333,7.194412499999999,9.0694875,6.824245833333333,5.705029166666667,2.648575,8.575833333333334,9.307916666666666,33.285714285714285,12.095238095238095,54.62380952380952,24,2024-12-01
C5BB2467D5,황금**,성수,일식당,서울 성동구 아차산로 96.,,서울 성동구,20090813,,1_10%이하,1_10%이하,3_25-50%,3_25-50%,1_10%이하,1_상위1구간,,114.15833333333335,61.44583333333333,18.904166666666665,14.025,17.979166666666668,8.320833333333333,18.965854166666666,21.567579166666665,10.6726625,9.265075,4.0174625,10.492479166666667,11.8865875,5.885670833333333,5.089091666666667,2.1658708333333334,6.604583333333333,7.717083333333334,15.262500000000001,19.733333333333334,64.99583333333334,24,2024-12-01
4E6576A551,도*,성수,일식당,서울 성동구 성수이로 126.,,서울 성동구,20210803,,4_50-75%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,3.283333333333333,139.07083333333333,322.74583333333334,14.4625,11.341666666666667,17.979166666666668,8.320833333333333,19.4136375,17.077025,5.556066666666666,4.3971583333333335,1.1668416666666668,21.3238625,18.789641666666665,6.114766666666667,4.861175,1.287325,26.81958333333333,6.636666666666667,8.458333333333334,35.49166666666667,56.05416666666667,24,2024-12-01
F666E3264F,유진**,성수,일식당,서울 성동구 연무장7길 16.,일식당3,서울 성동구,20100421,,1_10%이하,2_10-25%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,63.80833333333334,108.33333333333333,38.479166666666664,24.066666666666666,17.979166666666668,8.320833333333333,8.669966666666665,17.65489583333333,16.3284125,14.149658333333335,18.668875,2.8966999999999996,5.607604166666667,5.3340875,4.579508333333333,6.089458333333333,31.865416666666665,7.034583333333334,17.379166666666666,40.18333333333333,42.425000000000004,24,2024-12-01
EE23179B26,노*,신금호,일식당,서울  성동구  금호산길  58,,서울 성동구,20120904,,2_10-25%,1_10%이하,4_50-75%,4_50-75%,1_10%이하,6_상위6구간(하위1구간),,130.83333333333334,17.333333333333332,14.358333333333334,9.558333333333334,17.979166666666668,9.308333333333334,5.540141666666667,18.104558333333333,21.5085375,22.205699999999997,13.0770875,1.3390250000000001,4.3829416666666665,5.2581291666666665,5.4068000000000005,3.1854125,15.068333333333333,6.595,23.412499999999998,8.204166666666667,68.3875,24,2024-12-01
7E7BE1BF67,수현**,왕십리,일식당,서울 성동구 무학봉28길 12.,,서울 성동구,20121029,,2_10-25%,2_10-25%,4_50-75%,3_25-50%,1_10%이하,1_상위1구간,,85.67083333333333,42.5875,24.508333333333336,21.020833333333332,17.979166666666668,9.583333333333334,2.1069416666666667,8.236108333333334,12.275316666666667,27.270179166666665,22.835483333333332,0.784725,3.097225,4.637183333333334,10.246487499999999,8.514516666666667,16.365,6.458749999999999,35.30833333333333,18.912499999999998,45.79583333333333,24,2024-12-01
A6BE3DEBC5,어가***,금남시장,일식당,서울 성동구 독서당로 285-1.,,서울 성동구,20040329,,1_10%이하,1_10%이하,3_25-50%,2_10-25%,2_10-25%,4_상위4구간,13.775,233.32916666666665,99.075,7.616666666666667,6.8625,17.1125,8.529166666666667,5.1255375,11.940075,13.7535,17.885366666666666,14.746904166666667,2.9661291666666667,6.893258333333333,7.900666666666666,10.3063,8.490595833333334,22.49875,7.360833333333333,64.06666666666666,3.4416666666666664,32.487500000000004,24,2024-12-01
2B0A1A657D,언와**********,뚝섬,일식당,서울 성동구 서울숲4길 22-7.,,서울 성동구,20220107,,4_50-75%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,88.92916666666667,221.55416666666667,21.254166666666666,16.433333333333334,17.979166666666668,8.029166666666667,24.069391666666665,26.482708333333335,7.043091666666666,4.444795833333333,1.1816458333333333,14.263941666666668,15.425624999999998,3.856908333333333,2.571870833333333,0.6683541666666667,23.290833333333335,5.37375,6.152631578947369,5.573684210526316,88.28947368421052,24,2024-12-01
039869F9F9,오마************,성수,일식당,서울 성동구 연무장3길 9-14.,,서울 성동구,20230116,,4_50-75%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,61.73333333333334,115.46666666666665,47.375,30.77916666666667,17.979166666666668,8.320833333333333,20.619765217391304,16.46224782608696,6.171608695652174,5.1272913043478265,1.592395652173913,20.523713043478264,16.51601304347826,6.211,5.181404347826088,1.6032565217391304,4.514782608695652,17.73478260869565,11.382608695652175,6.852173913043478,81.79130434782608,24,2024-12-01
