ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
27C88660A5,북*,알수없음,중식당,서울 성동구 송정동,,서울 성동구,20141217,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,42.295833333333334,75.72916666666667,46.208333333333336,0.0,16.979166666666668,,9.761283333333333,16.034495833333335,14.703275,19.663979166666667,17.003791666666668,2.89705,4.719670833333333,4.3592249999999995,5.8026875,5.054541666666666,33.27,6.595833333333334,27.775000000000002,28.15416666666667,44.07916666666667,24,2024-12-01
E606947836,정*,왕십리,중식당,서울 성동구 홍익동,,서울 성동구,20150918,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,4_50-75%,1_상위1구간,,2.9625,4.841666666666667,87.1875,71.75416666666666,16.979166666666668,9.583333333333334,6.359929166666667,8.891137500000001,13.731208333333333,21.662420833333332,20.203712499999998,2.710904166666667,3.7046958333333335,5.785458333333334,9.016745833333333,7.937954166666667,12.464583333333332,7.326666666666667,34.79130434782609,7.6521739130434785,57.55652173913043,24,2024-12-01
1400634946,한일**,알수없음,중식당,서울  성동구  마장동,,서울 성동구,20040728,,1_10%이하,3_25-50%,3_25-50%,4_50-75%,3_25-50%,1_상위1구간,17.616666666666667,71.7375,90.39166666666667,32.916666666666664,0.0,16.979166666666668,,5.669783333333334,15.3526375,18.494266666666665,17.64314166666667,13.706983333333334,2.3093833333333333,6.293195833333333,7.643233333333334,7.231858333333332,5.655516666666667,40.23708333333334,5.9725,48.479166666666664,20.266666666666666,31.258333333333336,24,2024-12-01
2B89D787CB,왕짜*,뚝섬,중식당,서울 성동구 상원길 60,중식당3,서울 성동구,20181205,,3_25-50%,2_10-25%,1_10%이하,1_10%이하,4_50-75%,1_상위1구간,,224.7875,429.10833333333335,7.3125,9.579166666666667,16.979166666666668,8.029166666666667,11.632516666666668,19.5242125,13.8013375,13.898650000000002,10.869179166666667,5.0466500000000005,8.471620833333334,5.990329166666666,6.030516666666666,4.718320833333333,38.5875,6.175,40.36666666666667,24.25,35.38333333333333,24,2024-12-01
6D19A5E92A,중국*,성수,중식당,서울 성동구 뚝섬로 404,,서울 성동구,20070808,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,32.35,35.387499999999996,53.208333333333336,36.24166666666667,16.979166666666668,8.320833333333333,9.6708,21.792504166666664,15.2961875,10.809058333333333,14.878408333333333,3.625033333333333,8.2241625,5.7913125,4.074275,5.834091666666667,28.1075,7.0495833333333335,23.549999999999997,28.40416666666667,48.03333333333333,24,2024-12-01
149F54EBF0,금*,한양대,중식당,서울 성동구 마조로 17.,,서울 성동구,20110808,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,80.375,63.775000000000006,48.99583333333334,36.949999999999996,49.32916666666667,16.979166666666668,10.095833333333333,30.560100000000002,12.947075,9.5206375,13.340054166666667,8.130275,10.260733333333333,4.373758333333334,3.3001958333333334,4.693279166666667,2.8780583333333336,15.556666666666667,7.7245833333333325,33.9375,10.549999999999999,55.50416666666666,24,2024-12-01
42326C1AF5,금*,한양대,중식당,서울 성동구 마조로 21.,,서울 성동구,20011218,,1_10%이하,3_25-50%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,58.94583333333333,151.125,299.825,12.054166666666667,24.3875,16.979166666666668,10.095833333333333,35.92610416666667,13.827695833333335,9.9790125,11.8078,5.5298041666666675,10.686395833333334,4.109804166666667,2.9668208333333332,3.5088666666666666,1.6410291666666668,28.239583333333332,6.341666666666666,41.00416666666667,10.7125,48.262499999999996,24,2024-12-01
05992E2BE5,락앤*****,알수없음,중식당,서울 성동구 매봉길 13.,중식당1,서울 성동구,20140507,,2_10-25%,1_10%이하,2_10-25%,2_10-25%,2_10-25%,1_상위1구간,16.570833333333333,395.2833333333333,200.9375,2.6750000000000003,0.0,16.979166666666668,,2.2893000000000003,10.873225,16.3943625,11.6755625,11.969574999999999,2.0273666666666665,9.555941666666667,14.447304166666667,10.266104166666667,10.505425,27.710833333333337,6.09625,61.24166666666667,4.279166666666667,34.47083333333333,24,2024-12-01
AC70EA0FCD,중화*,금남시장,중식당,서울  성동구  금호산2길,,서울 성동구,20150619,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,5_상위5구간,,24.808333333333334,31.308333333333334,63.96666666666667,45.04583333333333,16.979166666666668,8.529166666666667,5.583208333333334,10.886216666666668,13.837558333333334,21.685979166666666,14.755245833333333,2.7542916666666666,5.45545,6.874941666666667,10.797354166666667,7.373920833333333,26.52541666666667,8.473333333333333,69.28333333333333,4.766666666666667,25.97083333333333,24,2024-12-01
5468EE06CF,금수*,금남시장,중식당,서울 성동구 금호로 47-1,,서울 성동구,20020604,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,16.962500000000002,52.37916666666666,60.55833333333334,47.24583333333334,31.291666666666668,16.979166666666668,8.529166666666667,3.9123750000000004,13.7578625,18.295241666666666,19.176266666666667,14.363629166666668,1.6792916666666666,6.050470833333333,8.004758333333333,8.461233333333334,6.2947041666666665,28.006249999999998,8.59625,69.70833333333333,6.145833333333333,24.145833333333332,24,2024-12-01
4CE4BD3DBE,홍정*,알수없음,중식당,서울 성동구 뚝섬로 426.,,서울 성동구,20150210,,2_10-25%,2_10-25%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,10.995833333333332,151.53333333333333,206.64583333333334,13.116666666666667,0.0,16.979166666666668,,5.5719375,13.144625,17.045445833333332,18.2877,18.440895833333332,2.1363958333333333,4.9803749999999996,6.4795541666666665,6.9373000000000005,6.979937499999999,39.08833333333333,5.7558333333333325,38.079166666666666,19.791666666666668,42.12083333333333,24,2024-12-01
8884E46F9D,대성*,알수없음,중식당,서울 성동구 마장로 284.,,서울 성동구,20130628,,2_10-25%,2_10-25%,2_10-25%,2_10-25%,3_25-50%,5_상위5구간,7.120833333333334,212.95000000000002,243.61249999999998,8.154166666666667,0.0,16.979166666666668,,8.306570833333334,11.779866666666665,15.750408333333333,19.784995833333333,16.4750625,3.2100958333333334,4.557633333333333,6.095425,7.656670833333333,6.379104166666667,32.767916666666665,6.390416666666667,44.875,16.654166666666665,38.475,24,2024-12-01
170B8F1903,승리*,뚝섬,중식당,서울 성동구 왕십리로 78,,서울 성동구,20160830,,3_25-50%,1_10%이하,1_10%이하,1_10%이하,3_25-50%,1_상위1구간,9.366666666666667,495.5916666666667,548.6708333333333,1.8083333333333333,2.9333333333333336,16.979166666666668,8.029166666666667,10.223233333333333,19.297570833333335,13.245741666666667,13.824995833333332,10.668075,4.976766666666666,9.394095833333333,6.445925,6.729170833333334,5.190258333333333,32.44291666666667,6.27875,29.829166666666666,27.037499999999998,43.14166666666667,24,2024-12-01
DBD3191157,짬뽕******,뚝섬,중식당,서울 성동구 서울숲6길 21,,서울 성동구,20140415,,2_10-25%,2_10-25%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,4.958333333333333,216.25833333333333,331.9291666666667,7.0625,9.375,16.979166666666668,8.029166666666667,16.350325,19.317062500000002,14.189324999999998,11.061875,6.919058333333333,7.758008333333333,9.166270833333334,6.727341666666667,5.246458333333333,3.276775,20.849999999999998,6.7820833333333335,16.558333333333334,20.654166666666665,62.7875,24,2024-12-01
BEFFE2D107,홍보*,성수,중식당,서울 성동구 성덕정7길 13,,서울 성동구,20030307,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,141.10833333333332,150.54999999999998,15.829166666666666,15.279166666666667,16.979166666666668,8.320833333333333,7.8522125,14.223066666666668,16.24665,12.467320833333334,8.239704166666668,5.4061208333333335,9.901933333333334,11.257516666666668,8.6410125,5.7644625000000005,29.971249999999998,7.029166666666666,34.68333333333333,23.695833333333336,41.6125,24,2024-12-01
