ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
D10F02182E,과일**,금남시장,청과물,서울 성동구 장터길 37.,,서울 성동구,20240118,,5_75-90%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_상위6구간(하위1구간),53.9125,24.541666666666668,52.10833333333333,52.06666666666666,55.916666666666664,10.691666666666668,8.708333333333334,11.293927272727272,18.836272727272725,7.674118181818182,6.145254545454545,4.422845454545454,12.078800000000001,20.07281818181818,8.1077,6.572927272727273,4.7953363636363635,18.022727272727273,25.69818181818182,6.1875,2.0,91.8125,12,2024-12-01
1F08E8119D,비타***,행당,청과물,서울 성동구 행당로 87.,청과물1,서울 성동구,20160108,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,4_상위4구간,,99.22500000000001,109.20416666666667,15.15,19.404166666666665,10.6625,9.612499999999999,0.7340458333333334,4.909141666666667,9.274266666666668,7.368045833333333,7.690716666666667,1.6701208333333335,11.265858333333334,21.600733333333334,17.231954166666664,18.230116666666667,29.87625,6.512083333333333,75.9375,3.0083333333333333,21.054166666666667,24,2024-12-01
921F25CC9D,현준**,알수없음,청과물,서울 성동구 금호로 100.,,서울 성동구,20160309,,3_25-50%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,3_상위3구간,,168.59166666666667,208.33333333333334,9.291666666666666,0.0,10.6625,,0.5676583333333333,4.922541666666667,6.8461,10.968975,15.511608333333333,0.8990083333333333,7.723291666666667,10.749733333333333,17.264358333333334,24.546725,46.82458333333333,5.860416666666667,37.895833333333336,2.829166666666667,59.275,24,2024-12-01
D66D8AD118,청과****,신금호,청과물,서울 성동구 금호로 164.,,서울 성동구,20050117,,1_10%이하,3_25-50%,2_10-25%,2_10-25%,4_50-75%,4_상위4구간,,83.47500000000001,119.96666666666665,19.4,28.370833333333334,10.6625,9.308333333333334,1.2533,4.619558333333333,7.923220833333333,10.265279166666668,15.200249999999999,1.9633666666666667,6.980441666666667,12.351779166666667,15.855554166666666,23.603916666666667,39.904583333333335,7.03625,62.645833333333336,2.654166666666667,34.7125,24,2024-12-01
FD13D7996E,상원**,뚝섬,청과물,서울 성동구 상원길 47-1.,,서울 성동구,20160811,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,,53.025,78.925,26.675,36.5875,10.6625,8.029166666666667,1.7876125,4.7774125,5.012066666666667,9.175395833333333,10.621425,3.9498874999999996,10.543420833333334,10.9171,20.003770833333334,23.220241666666666,30.184166666666666,6.452500000000001,67.20833333333333,9.725,23.083333333333332,24,2024-12-01
8194D2104C,달*,옥수,청과물,서울 성동구 한림말3길 14,,서울 성동구,20160627,,3_25-50%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,146.125,86.76666666666667,10.200000000000001,16.879166666666666,10.6625,8.25,1.1822125,8.137041666666667,8.584583333333333,5.4544375,6.105687499999999,2.7594541666666665,19.383791666666667,20.332083333333333,13.362229166666667,14.702645833333333,34.885,6.25375,67.0125,2.4208333333333334,30.570833333333336,24,2024-12-01
7AA4E7D85E,무학**,알수없음,청과물,서울 성동구 무학봉15길 25,,서울 성동구,20100722,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,6_상위6구간(하위1구간),0.12307692307692308,38.2125,47.23333333333333,33.12916666666667,0.0,10.6625,,4.745545833333334,6.728525,8.828870833333333,15.933254166666666,13.8033,4.671120833333333,6.725641666666667,8.812795833333334,16.016745833333335,13.746699999999999,33.84666666666667,6.482083333333333,68.94583333333334,4.029166666666667,27.041666666666668,24,2024-12-01
4BB1D5083E,사거***,답십리,청과물,서울 성동구 용답중앙15길 2,,서울 성동구,20070626,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,115.59583333333335,143.22916666666666,12.9375,18.208333333333332,10.6625,8.266666666666667,5.5583,6.2638875,6.934279166666666,11.236733333333333,8.680166666666667,8.8042,9.940279166666667,10.999054166666667,17.825766666666667,13.753166666666667,29.969166666666666,6.97375,50.86666666666667,8.116666666666667,41.0375,24,2024-12-01
AB9E1046C2,우리**,알수없음,청과물,서울  성동구  행당로3길  18,,서울 성동구,20120424,,2_10-25%,3_25-50%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,103.98333333333333,63.36666666666667,14.233333333333334,0.0,10.6625,,0.21344583333333333,2.226375,9.500679166666666,11.150500000000001,11.530154166666668,0.3865541666666667,4.265291666666667,17.828487499999998,21.1495,21.749012500000003,44.82458333333333,4.807916666666666,0.12916666666666668,0.20833333333333334,99.66250000000001,24,2024-12-01
43CB66F206,알로***,알수없음,청과물,서울특별시 성동구 무학로 33,,서울 성동구,20230908,,5_75-90%,3_25-50%,3_25-50%,4_50-75%,2_10-25%,1_상위1구간,18.533333333333335,102.20625,56.46875,33.2,0.0,10.69375,,6.9466624999999995,9.82176875,8.016825,3.3386,2.28396875,15.8720875,22.29698125,18.345675,7.95515,5.10978125,24.94875,22.065625,40.5625,8.39375,51.0375,16,2024-12-01
