ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
167F268F8E,돔카*,왕십리,카페,서울  성동구  행당1동,,서울 성동구,20110525,,2_10-25%,5_75-90%,3_25-50%,4_50-75%,5_75-90%,1_상위1구간,,60.387499999999996,54.949999999999996,29.849999999999998,40.295833333333334,13.516666666666666,9.583333333333334,1.6580083333333333,10.040279166666666,21.119033333333334,18.776641666666666,8.037420833333334,1.1461583333333334,7.051387500000001,14.418466666666667,12.440025,5.337579166666667,38.7875,6.1191666666666675,46.083333333333336,4.829166666666667,49.07916666666667,24,2024-12-01
8532D4C362,그린******,알수없음,카페,서울 성동구 사근동11길,,서울 성동구,20230223,,4_50-75%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,3_상위3구간,,43.35217391304348,126.1391304347826,56.99130434782609,0.0,17.07391304347826,,13.262983333333333,3.8266166666666663,4.718188888888889,4.0347888888888885,1.3581555555555556,35.348127777777776,10.212272222222222,12.676255555555555,10.720766666666668,3.825177777777778,41.64944444444445,18.611666666666665,51.56111111111111,8.661111111111111,39.76111111111111,23,2024-12-01
BD237E8126,페로************,뚝섬,카페,서울 성동구 상원2길 5.,,서울 성동구,20200407,,3_25-50%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,4_상위4구간,2.9529411764705884,98.0,148.91666666666666,25.170833333333334,29.933333333333334,16.979166666666668,8.029166666666667,14.273970833333331,6.553237500000001,1.4627125,1.5085666666666666,0.313625,46.992695833333336,19.088429166666668,4.045620833333333,4.853933333333333,0.9030416666666666,12.682083333333333,9.774583333333334,5.147826086956522,5.886956521739131,88.95652173913044,24,2024-12-01
6B31815A9D,개인****************,뚝섬,카페,서울 성동구 상원길 19.,,서울 성동구,20150630,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_상위6구간(하위1구간),2.1,66.60000000000001,82.64583333333333,24.641666666666666,33.104166666666664,13.516666666666666,8.029166666666667,12.276962500000002,22.963091666666667,15.690583333333334,10.9928375,5.7291625,5.852204166666667,10.970241666666666,7.480250000000001,5.273829166666666,2.7625041666666665,32.8125,5.20625,12.30909090909091,43.18181818181818,44.51363636363636,24,2024-12-01
EB66B019B5,카페*********,행당,카페,서울 성동구 행당로 79.,,서울 성동구,20160621,,3_25-50%,5_75-90%,3_25-50%,4_50-75%,5_75-90%,5_상위5구간,,29.891666666666666,35.37916666666667,49.86666666666667,46.15,13.516666666666666,9.612499999999999,1.2705541666666667,5.134454166666667,12.513779166666666,10.496645833333334,5.085883333333333,2.3711125,9.723879166666666,23.652887500000002,20.007520833333334,9.747449999999999,40.625416666666666,5.961666666666667,71.13333333333334,7.458333333333333,21.425,24,2024-12-01
BE646F48C4,카페***,왕십리,카페,서울  성동구  무학로8길,,서울 성동구,20140627,,2_10-25%,5_75-90%,4_50-75%,4_50-75%,5_75-90%,5_상위5구간,,41.85,29.083333333333332,38.2875,46.025,13.516666666666666,9.583333333333334,7.502245833333333,13.051795833333335,10.090366666666666,8.189012499999999,2.841908333333333,10.360254166666666,18.398204166666666,14.230466666666667,11.435987500000001,3.878925,32.89958333333333,6.4816666666666665,34.00833333333333,26.233333333333334,39.770833333333336,24,2024-12-01
3593B2D487,스테************,뚝섬,카페,서울 성동구 상원1길 13.,,서울 성동구,20230126,,4_50-75%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,6_상위6구간(하위1구간),0.31428571428571433,31.945833333333336,92.66250000000001,54.5,49.6875,16.979166666666668,8.029166666666667,12.314770833333334,16.96121666666667,6.937820833333333,4.9356875,1.7561541666666667,19.6810625,21.176283333333334,8.337179166666667,5.843479166666666,2.068845833333333,21.202916666666667,20.829166666666666,8.316666666666666,11.308333333333332,80.375,24,2024-12-01
C76DAFE8C1,더리*,행당,카페,서울  성동구  행당로  98,,서울 성동구,20120720,,2_10-25%,5_75-90%,4_50-75%,4_50-75%,5_75-90%,5_상위5구간,,14.737499999999999,64.37916666666666,60.57083333333333,53.36666666666667,16.979166666666668,9.612499999999999,4.814075,4.935320833333333,5.528275,11.466716666666668,11.860466666666667,7.769258333333333,7.806345833333334,8.946724999999999,18.258283333333335,18.6062,25.247083333333332,6.53875,66.94166666666666,5.8125,27.25,24,2024-12-01
80012F987D,타로*******,한양대,카페,서울 성동구 마조로1길 2.,,서울 성동구,20090608,,1_10%이하,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,56.791666666666664,37.800000000000004,35.112500000000004,60.300000000000004,13.516666666666666,10.095833333333333,26.096283333333332,2.8515208333333333,0.8276583333333334,2.7219625,0.40755,53.23705,5.823479166666666,1.7140083333333334,5.4822041666666665,0.84245,23.756666666666664,7.984166666666667,25.995833333333334,3.295833333333333,70.7,24,2024-12-01
D72BC9D1A2,카페****,한양대,카페,서울 성동구 사근동길 59.,,서울 성동구,20211125,,4_50-75%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,6_상위6구간(하위1구간),6.820833333333333,238.6,93.88333333333333,5.166666666666667,27.52916666666667,13.516666666666666,10.095833333333333,15.661458333333334,3.0352041666666665,4.093370833333333,4.9472625,0.5701875,39.72604166666667,7.685629166666668,10.369129166666667,12.4902375,1.4464791666666665,42.38333333333333,6.212083333333333,35.15833333333333,15.049999999999999,49.79583333333333,24,2024-12-01
61A3133822,낫띵***,뚝섬,카페,서울 성동구 상원12길 19.,,서울 성동구,20200615,,3_25-50%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,2.5125,1.3791666666666667,74.85833333333333,63.17916666666667,16.979166666666668,8.029166666666667,10.063414285714286,10.500857142857143,3.0006571428571425,1.3782666666666668,0.17631904761904763,19.046109523809523,18.427714285714284,34.399342857142855,2.4264952380952383,0.5712999999999999,12.124782608695652,5.055217391304348,2.775,47.225,50.0,24,2024-12-01
E4A9ECB7B9,커피******,뚝섬,카페,서울 성동구 상원6나길 6.,카페11,서울 성동구,20140310,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,4_상위4구간,,49.958333333333336,42.666666666666664,36.77916666666667,40.954166666666666,13.516666666666666,8.029166666666667,10.596058333333334,20.696470833333333,8.451345833333333,5.874241666666666,1.5898625,11.853941666666666,23.1118625,9.486154166666667,6.579925,1.7768041666666665,39.434999999999995,6.975833333333334,23.983333333333334,37.12916666666667,38.9,24,2024-12-01
FCA7A6787B,로스*****,성수,카페,서울 성동구 성수이로 45.,,서울 성동구,20210204,,4_50-75%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,6.041666666666667,15.970833333333333,68.26666666666667,54.10833333333333,16.979166666666668,8.320833333333333,18.00365,34.4056875,13.714283333333334,3.9615166666666664,0.9596791666666666,7.38385,14.1318125,5.560716666666667,1.5634833333333333,0.31532083333333333,27.60166666666667,4.480416666666667,10.966666666666667,13.972222222222221,75.06666666666666,24,2024-12-01
BDD7EBEC25,전광***,성수,카페,서울 성동구 성수일로 10.,카페8,서울 성동구,20040525,,1_10%이하,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,3.433333333333333,0.28750000000000003,84.94166666666666,72.60833333333333,13.516666666666666,8.320833333333333,0.0,0.0,51.33914117647059,21.037329411764706,0.0,0.0,0.0,27.525564705882353,0.09796470588235294,0.0,61.765882352941176,10.784117647058823,0.0,0.0,100.0,24,2024-12-01
82090124F0,백억******,뚝섬,카페,서울 성동구 아차산로 49.,,서울 성동구,20160518,,3_25-50%,3_25-50%,2_10-25%,2_10-25%,5_75-90%,3_상위3구간,31.573684210526313,96.11666666666667,134.05833333333334,23.554166666666664,32.69166666666667,13.516666666666666,8.029166666666667,15.186791666666666,20.372916666666665,12.770208333333334,8.453891666666667,2.6320666666666668,10.375708333333334,13.93125,8.717291666666666,5.766941666666667,1.8054333333333332,36.69375,8.777083333333334,18.108333333333334,31.84583333333333,50.041666666666664,24,2024-12-01
AD57E72BC9,하루*******************,성수,카페,서울 성동구 아차산로 92.,,서울 성동구,20161012,20250801.0,3_25-50%,2_10-25%,1_10%이하,1_10%이하,4_50-75%,5_상위5구간,,268.9291666666667,629.1374999999999,5.2124999999999995,9.1875,16.979166666666668,8.320833333333333,14.736891666666667,7.3891583333333335,2.0354666666666668,2.3566583333333333,0.8398833333333333,39.200608333333335,19.565008333333335,5.397866666666666,6.243341666666667,2.2184500000000003,16.573333333333334,7.172499999999999,11.479166666666666,9.9625,78.55833333333334,24,2024-12-01
869C372EFC,구*,옥수,카페,서울 성동구 한림말길 40.,,서울 성동구,20081007,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,5.004166666666666,13.029166666666667,76.79583333333333,66.74166666666666,16.979166666666668,8.25,2.52425,3.122158333333333,2.8596958333333333,2.738466666666667,3.175425,14.759083333333335,17.986175,17.719470833333332,16.028200000000002,19.10790833333333,16.927916666666665,7.885000000000001,38.75833333333333,15.950000000000001,45.30833333333334,24,2024-12-01
18FC952F28,카페***,한양대,카페,서울  성동구  사근동길  2,,서울 성동구,20120516,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,27.604166666666668,27.770833333333332,45.20416666666667,65.46249999999999,13.516666666666666,10.095833333333333,33.547134782608694,7.957539130434783,3.990904347826087,7.968243478260869,2.2026739130434785,26.75721304347826,6.385939130434783,3.1569217391304347,6.283930434782608,1.7364565217391303,21.23304347826087,3.236086956521739,27.441666666666666,6.483333333333333,66.075,24,2024-12-01
9911CB0D95,둘*,마장동,카페,서울 성동구 고산자로 345.,,서울 성동구,20160218,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,3_상위3구간,,66.06666666666666,233.6916666666667,29.55,28.78333333333333,16.979166666666668,5.770833333333333,12.6614875,24.638554166666665,12.239804166666666,8.78675,4.274029166666667,7.6635124999999995,14.707279166666666,7.2393624999999995,5.25075,2.5468041666666665,41.08291666666667,6.378333333333334,23.3625,34.0875,42.55833333333333,24,2024-12-01
5DEC65272B,허*,금남시장,카페,서울 성동구 독서당로 314.,,서울 성동구,20150622,,2_10-25%,3_25-50%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,94.925,9.270833333333334,23.554166666666664,21.666666666666668,16.979166666666668,8.529166666666667,0.0,0.074475,8.835129166666666,78.58185833333333,12.062716666666667,0.0,0.000525,0.05237083333333333,0.33064166666666667,0.062283333333333336,41.20166666666667,5.303333333333334,88.66666666666667,1.3916666666666666,9.941666666666666,24,2024-12-01
15B7F02740,라피**,옥수,카페,서울 성동구 동호로 76-30.,,서울 성동구,20211119,,4_50-75%,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,22.333333333333332,32.61666666666667,91.58749999999999,43.05833333333334,41.4125,16.904166666666665,8.25,10.5923125,15.433616666666666,9.0859375,8.8269375,2.014133333333333,12.420187499999999,18.166383333333332,10.7265625,10.368895833333333,2.3900333333333332,36.39083333333333,6.490416666666667,15.721739130434784,1.182608695652174,83.08260869565218,24,2024-12-01
CD4571800C,유*,알수없음,카페,서울 성동구 마장로 202-1.,,서울 성동구,20121019,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,4_상위4구간,,54.1875,111.62916666666666,33.141666666666666,0.0,16.979166666666668,,8.846820833333334,14.707175,11.3727375,14.956816666666667,7.7501375,6.465679166666667,10.817825,8.3147625,11.00985,5.729029166666667,28.16875,6.65875,29.837500000000002,21.1875,48.979166666666664,24,2024-12-01
77B5670808,앨*,한양대,카페,서울 성동구 사근동12길 8.,,서울 성동구,20160629,,3_25-50%,2_10-25%,3_25-50%,3_25-50%,3_25-50%,6_상위6구간(하위1구간),,118.45833333333333,159.51666666666668,22.71666666666667,46.24583333333334,16.979166666666668,10.095833333333333,22.099345833333334,3.1426916666666664,5.5215125,6.675325,1.9399458333333335,34.075654166666666,4.898975,8.4784875,10.212175,2.9767208333333333,38.1975,7.30125,31.537499999999998,13.700000000000001,54.77916666666667,24,2024-12-01
D3E9FFD90F,카페**,알수없음,카페,서울 성동구 살곶이길 152.,,서울 성동구,20150309,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,5_75-90%,1_상위1구간,,10.083333333333334,12.670833333333334,68.04583333333333,0.0,13.516666666666666,,17.777045833333332,1.3328541666666667,1.8812958333333334,4.935695833333333,0.3595791666666666,49.88962083333333,3.7671458333333336,5.243704166666666,13.801804166666665,1.0070875000000001,37.291666666666664,5.596666666666667,33.135000000000005,10.745000000000001,56.120000000000005,24,2024-12-01
F1D42A1E4A,커농**,한양대,카페,서울 성동구 살곶이길 346.,,서울 성동구,20141008,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,4_상위4구간,8.483333333333333,46.824999999999996,122.49583333333334,28.929166666666664,57.354166666666664,13.216666666666667,10.095833333333333,13.0204625,18.976354166666667,22.317475,16.186670833333334,5.0905458333333335,4.1545375,6.1278125,7.224191666666667,5.271662500000001,1.6302875,44.571666666666665,4.801666666666667,36.237500000000004,19.529166666666665,44.23333333333333,24,2024-12-01
