ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
5017C6924A,도미********,알수없음,피자,서울  성동구  마장동,피자2,서울 성동구,20100723,,2_10-25%,2_10-25%,3_25-50%,3_25-50%,2_10-25%,6_상위6구간(하위1구간),37.19583333333333,353.8333333333333,192.63750000000002,2.095833333333333,0.0,21.204166666666666,,7.251179166666667,10.436070833333334,11.801499999999999,14.9891125,11.055725,5.794654166666667,8.330595833333334,9.461,12.031720833333333,8.856775,24.21375,6.413333333333333,63.32916666666667,8.583333333333334,28.104166666666668,24,2024-12-01
69EE47A25B,피자********,뚝섬,피자,서울  성동구  상원길,피자8,서울 성동구,20121231,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,274.5208333333333,456.375,3.9125,21.599999999999998,21.204166666666666,8.029166666666667,14.148704166666667,14.325604166666666,9.714550000000001,10.135320833333333,7.6004125,11.159629166666667,11.286895833333332,7.652116666666667,7.989679166666666,5.9787541666666675,41.82,5.377083333333334,71.47083333333333,8.329166666666667,20.212500000000002,24,2024-12-01
F80F79F599,파파*****,옥수,피자,서울 성동구 매봉길 2.,피자7,서울 성동구,20051130,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,60.5375,131.10833333333332,121.83333333333333,13.716666666666667,32.15416666666667,21.204166666666666,8.25,3.656954166666667,10.977625000000002,14.552166666666666,12.243770833333334,11.6645625,3.2305458333333337,9.601541666666668,12.835333333333333,10.822895833333334,10.389604166666667,26.34583333333333,5.899583333333333,70.59166666666667,1.6083333333333334,27.804166666666664,24,2024-12-01
15E95AF364,잭슨******,알수없음,피자,서울 강남구 선릉로 711.,,서울 성동구,20211025,,4_50-75%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,79.43333333333334,195.80416666666667,112.27083333333333,7.508333333333333,0.0,21.204166666666666,,13.615620833333333,22.435775000000003,10.0249375,7.4568875,5.504329166666667,9.4427125,15.430891666666668,6.9292291666666666,5.2931125,3.8665041666666666,18.109583333333333,6.005,28.7375,9.591666666666667,61.65833333333333,24,2024-12-01
0B68902965,서오***,알수없음,피자,서울 성동구 마장로 137.,,서울 성동구,20200901,,4_50-75%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,6_상위6구간(하위1구간),65.05,337.94166666666666,422.97499999999997,2.3375,0.0,21.204166666666666,,7.466308333333333,13.303529166666666,17.125616666666666,11.929470833333333,7.343216666666667,5.608691666666666,9.992304166666667,12.80355,8.9163625,5.506783333333334,33.07208333333333,5.872916666666666,31.441666666666666,6.004166666666666,62.55416666666667,24,2024-12-01
B170208380,피자******,알수없음,피자,서울 성동구 마장로 299.,피자8,서울 성동구,20130611,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,4_상위4구간,,159.9625,255.48749999999998,11.512500000000001,0.0,21.204166666666666,,14.963033333333334,14.579445833333333,10.041466666666667,12.65475,6.657325,10.466133333333334,10.124720833333333,7.021033333333333,8.849416666666666,4.642675,37.46,5.7754166666666675,71.77499999999999,5.825,22.412499999999998,24,2024-12-01
19AB11C6B4,피자*******,한양대,피자,서울 성동구 사근동길 4.,피자10,서울 성동구,20170628,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,49.6625,155.92499999999998,87.03750000000001,10.329166666666667,48.675000000000004,21.204166666666666,10.095833333333333,35.8442625,8.8197,7.947016666666666,10.3302125,4.26285,17.476570833333334,4.3011333333333335,3.8821499999999998,5.028120833333333,2.0829833333333334,15.780833333333334,6.18375,49.99583333333334,9.6625,40.34166666666667,24,2024-12-01
561E2A96EF,영구********,알수없음,피자,서울 성동구 성덕정길 25,피자5,서울 성동구,20010723,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,54.9375,90.76666666666667,81.86666666666666,22.84166666666667,0.0,21.204166666666666,,5.1738375,10.2373125,11.021979166666666,15.037966666666668,8.893454166666666,5.217829166666667,10.091854166666666,10.961354166666666,14.795366666666666,8.581545833333333,25.00375,6.11375,57.1875,9.612499999999999,33.199999999999996,24,2024-12-01
426E9843AA,피자****,성수,피자,서울 성동구 성덕정길 78,피자8,서울 성동구,20060906,,1_10%이하,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,136.65833333333333,215.27083333333334,14.2125,30.041666666666668,21.204166666666666,8.320833333333333,13.662225,14.430366666666666,11.048645833333333,12.4341125,8.953570833333332,8.896108333333332,9.411299999999999,7.201354166666667,8.107554166666667,5.8547625,37.14,5.67625,71.5,4.3374999999999995,24.150000000000002,24,2024-12-01
5C14F5FBA3,도미********,알수없음,피자,서울 성동구 뚝섬로 327 .,피자2,서울 성동구,20140410,,2_10-25%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,43.29583333333333,196.50833333333333,143.29999999999998,7.9750000000000005,0.0,21.204166666666666,,6.478770833333333,15.092374999999999,12.9233125,16.733479166666665,9.442937500000001,4.1920625,9.782625000000001,8.385020833333334,10.845687499999999,6.123729166666667,22.549166666666665,6.499583333333334,61.45416666666667,9.720833333333333,28.84166666666667,24,2024-12-01
