ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
BE3EAEA415,별난**,답십리,한식-국수/만두,서울 성동구 용답동,,서울 성동구,20140107,,2_10-25%,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,0.0,23.025000000000002,20.0,57.48333333333333,53.71666666666667,16.245833333333334,8.266666666666667,4.332083333333333,5.641945833333334,8.728441666666667,19.9993625,11.965604166666667,4.480416666666667,5.445554166666667,8.417391666666667,19.608970833333334,11.376062500000002,27.806250000000002,7.617083333333333,30.537499999999998,25.929166666666664,43.53333333333333,24,2024-12-01
33361C935B,만두**,행당,한식-국수/만두,서울  성동구  행당동,,서울 성동구,20101112,,2_10-25%,1_10%이하,1_10%이하,1_10%이하,3_25-50%,4_상위4구간,,795.3583333333332,668.4,0.7875,1.4208333333333334,16.904166666666665,9.612499999999999,2.9646791666666665,6.072733333333333,8.7197625,14.306308333333334,11.072179166666666,3.9103208333333335,8.002266666666666,11.496904166666667,18.856191666666668,14.5944875,28.225416666666664,7.1745833333333335,55.612500000000004,6.120833333333334,38.25833333333333,24,2024-12-01
B0B5E9F0A8,미락******,뚝섬,한식-국수/만두,서울 성동구 상원10길 8,,서울 성동구,20100610,,2_10-25%,1_10%이하,1_10%이하,1_10%이하,4_50-75%,2_상위2구간,,366.0625,349.40000000000003,3.720833333333333,9.008333333333333,14.025,8.029166666666667,13.130691666666666,16.518533333333334,10.686854166666668,9.724658333333332,5.246254166666667,10.648475,13.331466666666666,8.6298125,7.8545083333333325,4.241245833333333,31.906666666666666,6.232083333333333,27.6375,32.46666666666667,39.90833333333333,24,2024-12-01
3F320BF290,국수***,알수없음,한식-국수/만두,서울 성동구 뚝섬로 321.,,서울 성동구,20091103,,1_10%이하,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,105.40416666666665,286.03333333333336,15.229166666666666,0.0,19.8625,,12.066420833333334,17.610195833333332,10.173820833333332,9.710345833333333,4.646891666666667,10.187745833333333,14.852304166666668,8.5970125,8.1979875,3.9406083333333335,31.165000000000003,5.421666666666667,26.138095238095236,34.86666666666667,39.00476190476191,24,2024-12-01
E508B2FACD,유림****,알수없음,한식-국수/만두,서울 성동구 마장로 137.,,서울 성동구,20141024,,2_10-25%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,,121.05833333333334,221.8375,16.658333333333335,0.0,16.904166666666665,,3.334595833333333,10.310541666666667,15.623899999999999,9.273725,5.089991666666667,4.307070833333333,13.339458333333333,20.184433333333335,11.967941666666666,6.576675000000001,37.13125,6.06375,35.59583333333333,12.245833333333332,52.15833333333333,24,2024-12-01
8219FA9E99,동맛******,성수,한식-국수/만두,서울  성동구  성수2가3동,,서울 성동구,20071220,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,3_25-50%,5_상위5구간,,102.39166666666667,91.25833333333333,18.554166666666667,21.541666666666668,16.904166666666665,8.320833333333333,12.4997375,15.5966125,8.115854166666667,12.327945833333333,11.94835,8.016929166666666,10.207554166666666,5.321645833333333,8.047054166666667,7.9058166666666665,27.26,6.650833333333334,30.195833333333336,27.933333333333334,41.86666666666667,24,2024-12-01
88714937FD,닭한*****,알수없음,한식-국수/만두,서울 성동구 광나루로 289,,서울 성동구,20010726,,1_10%이하,3_25-50%,3_25-50%,4_50-75%,4_50-75%,3_상위3구간,,124.16250000000001,154.28333333333333,18.3875,0.0,16.904166666666665,,4.681029166666667,16.496820833333334,14.0364875,16.14912083333333,37.81066666666667,0.6064708333333334,2.0198458333333336,1.7218458333333333,1.9342125000000001,4.551833333333334,38.58291666666667,5.968333333333334,18.087500000000002,48.425000000000004,33.49583333333333,24,2024-12-01
C8E1C54769,막퍼*******,신금호,한식-국수/만두,서울 성동구 금호산길 55.,,서울 성동구,20151221,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,3.029166666666667,55.729166666666664,52.54583333333333,32.170833333333334,33.699999999999996,16.904166666666665,9.308333333333334,2.8816624999999996,7.381220833333334,8.972679166666667,12.590170833333334,13.378729166666666,3.560004166666667,8.768779166666667,10.698154166666667,15.3931625,16.367104166666667,23.39125,6.722916666666666,55.10833333333333,10.887500000000001,34.016666666666666,24,2024-12-01
2D0E5434C1,명동*******,알수없음,한식-국수/만두,서울 성동구 동일로 143 .,한식-국수/만두7,서울 성동구,20200803,,3_25-50%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,6_상위6구간(하위1구간),,51.05833333333334,101.50416666666666,46.73333333333333,0.0,15.875,,12.15977619047619,17.29247619047619,13.661033333333334,9.757480952380954,5.772738095238095,8.554509523809523,12.212285714285713,9.743728571428571,6.80442380952381,4.041547619047619,18.208571428571428,16.871428571428574,9.438095238095238,30.55714285714286,60.00952380952381,24,2024-12-01
5B1438B461,영희*******,한양대,한식-국수/만두,서울 성동구 사근동길 66.,,서울 성동구,20160401,,3_25-50%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,67.60833333333333,132.97083333333333,28.445833333333336,51.50833333333333,16.904166666666665,10.095833333333333,16.953612500000002,3.8850625,5.795016666666666,8.821495833333334,3.5737625000000004,25.988054166666668,6.1649375,8.94665,14.116004166666668,5.7554041666666675,30.152916666666666,6.076249999999999,37.50416666666667,22.933333333333334,39.574999999999996,24,2024-12-01
