ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
1900B33A12,삼대**,알수없음,한식-냉면,서울  성동구  마장동,한식-냉면1,서울 성동구,20081008,,1_10%이하,6_90%초과(하위 10% 이하),5_75-90%,5_75-90%,4_50-75%,1_상위1구간,,13.987499999999999,17.891666666666666,62.25,0.0,16.904166666666665,,8.05515,13.461145833333333,8.507066666666667,17.1167625,20.387066666666666,3.5781833333333335,6.6221875,3.9304333333333332,8.304070833333332,10.0296,21.461250000000003,6.805,47.949999999999996,17.3625,34.69166666666667,24,2024-12-01
B3301EF2AC,부원**,금남시장,한식-냉면,서울 성동구 장터길 39.,,서울 성동구,20070822,,1_10%이하,3_25-50%,3_25-50%,2_10-25%,4_50-75%,3_상위3구간,,273.9791666666667,374.17083333333335,5.445833333333333,5.695833333333333,16.904166666666665,8.529166666666667,3.855070833333333,9.521525,9.898154166666666,13.8631875,15.376395833333333,3.4824291666666665,8.620141666666667,8.976845833333334,12.540979166666666,13.869437499999998,26.435833333333335,6.90125,60.8375,5.245833333333334,33.916666666666664,24,2024-12-01
A54A81ABB2,얼큰****,성수,한식-냉면,서울 성동구 성덕정길 37,,서울 성동구,20060612,,1_10%이하,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,,53.333333333333336,86.92916666666667,33.916666666666664,32.229166666666664,16.904166666666665,8.320833333333333,9.226708333333333,12.1239625,12.322891666666665,15.243083333333333,8.579304166666667,6.814958333333333,8.992704166666668,9.018775,11.281916666666667,6.395695833333334,28.257916666666663,6.740416666666667,48.26666666666667,16.858333333333334,34.875,24,2024-12-01
103335BDCE,원조****,한양대,한식-냉면,서울  성동구  마조로  17,,서울 성동구,20120417,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,142.86249999999998,167.81666666666666,13.375,33.90833333333333,16.904166666666665,10.095833333333333,20.835829166666667,12.097933333333332,9.184875,13.663025,5.3005875,13.235004166666668,7.672899999999999,5.856791666666666,8.741141666666666,3.403579166666667,16.552916666666665,7.270416666666667,29.370833333333334,16.754166666666666,53.86666666666667,24,2024-12-01
F6F4BCEF5D,코끼******,신금호,한식-냉면,서울 성동구 금호산길 56.,,서울 성동구,20140327,,2_10-25%,3_25-50%,3_25-50%,2_10-25%,4_50-75%,3_상위3구간,,125.60416666666667,206.71666666666667,16.483333333333334,19.795833333333334,16.904166666666665,9.308333333333334,4.524475,11.337995833333332,15.797645833333334,12.832895833333334,8.812741666666666,3.9713583333333333,9.937004166666666,13.839854166666667,11.246270833333334,7.687258333333333,31.72583333333333,6.595833333333334,61.62083333333333,10.729166666666666,27.641666666666666,24,2024-12-01
88F30EBFE9,함흥*****,왕십리,한식-냉면,서울 성동구 무학봉16길 1,,서울 성동구,20080417,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,6.7124999999999995,95.67916666666667,101.17083333333333,21.291666666666668,29.704166666666666,16.904166666666665,9.583333333333334,9.228933333333332,10.8075125,8.943187499999999,19.046508333333332,16.614012499999998,5.058566666666667,5.900820833333333,4.902645833333334,10.420158333333333,9.069320833333334,18.74,7.4679166666666665,59.083333333333336,7.2124999999999995,33.699999999999996,24,2024-12-01
6ED6AC9EAE,대한**,알수없음,한식-냉면,서울 성동구 성덕정길 120.,,서울 성동구,20200813,,3_25-50%,5_75-90%,5_75-90%,5_75-90%,4_50-75%,1_상위1구간,60.449999999999996,68.86666666666666,30.916666666666668,24.933333333333334,0.0,16.904166666666665,,7.1130125,10.223374999999999,13.5605,21.283595833333333,12.946712499999999,3.807820833333333,5.4682916666666666,7.235333333333333,11.412237500000002,6.919954166666667,9.003333333333332,4.437083333333333,16.04090909090909,11.477272727272727,72.47727272727273,24,2024-12-01
1B554AAC24,서박*****,답십리,한식-냉면,서울 성동구 용답중앙길 55.,,서울 성동구,20151201,,2_10-25%,4_50-75%,3_25-50%,4_50-75%,4_50-75%,1_상위1구간,0.2928571428571428,273.47083333333336,56.39166666666667,11.637500000000001,12.633333333333333,16.904166666666665,8.266666666666667,5.276970833333333,8.0285375,12.733366666666667,28.91255,25.439229166666667,1.3355291666666667,1.9881291666666667,3.2791333333333337,6.841616666666667,6.144104166666666,31.123333333333335,6.027083333333334,36.233333333333334,17.054166666666667,46.73333333333333,24,2024-12-01
644FD8375A,골목**,금남시장,한식-냉면,서울 성동구 독서당로 295-7.,,서울 성동구,20121128,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,40.854166666666664,154.19583333333333,200.63333333333333,13.358333333333334,12.629166666666668,16.904166666666665,8.529166666666667,3.7903583333333333,8.730966666666667,12.030354166666667,14.458095833333333,15.490579166666668,3.1638083333333333,7.289866666666666,10.044645833333334,12.083570833333333,12.9260875,16.732083333333332,7.891249999999999,50.13333333333333,4.904166666666667,44.9625,24,2024-12-01
C81BDB335C,고향**,금남시장,한식-냉면,서울 성동구 독서당로 301-93,,서울 성동구,20010521,,1_10%이하,4_50-75%,3_25-50%,3_25-50%,4_50-75%,5_상위5구간,,81.40833333333333,145.86666666666667,24.6875,22.241666666666664,16.904166666666665,8.529166666666667,2.3658958333333335,6.402079166666667,9.37665,13.667924999999999,19.697775,2.3132708333333336,6.018754166666667,8.931683333333334,13.002908333333332,18.235558333333334,32.39791666666667,6.8187500000000005,63.6875,8.7875,27.533333333333335,24,2024-12-01
