ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
E863289A7D,조은**,알수없음,한식-단품요리일반,서울 성동구 홍익동,,서울 성동구,20150116,,2_10-25%,4_50-75%,3_25-50%,4_50-75%,5_75-90%,5_상위5구간,,34.4,125.61666666666667,41.5375,0.0,19.8625,,7.935429166666666,17.877754166666666,13.396279166666666,13.300316666666667,9.4656375,4.8812375,11.034745833333332,8.162054166666666,8.21635,5.751029166666666,42.02333333333333,7.47375,32.300000000000004,27.9375,39.737500000000004,24,2024-12-01
11B0AA1C3B,동원**,왕십리,한식-단품요리일반,서울  성동구  마장동,,서울 성동구,20011022,,1_10%이하,4_50-75%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,32.891666666666666,10.325000000000001,42.99166666666667,47.50833333333333,19.8625,9.583333333333334,3.6815041666666666,1.480508333333333,5.374491666666667,50.89635833333333,28.488595833333335,0.3934958333333333,0.14865833333333334,0.604675,5.736975,3.1864041666666663,34.499583333333334,6.839166666666666,44.42916666666667,23.191666666666666,32.362500000000004,24,2024-12-01
6D8F7BBA89,고향**,장한평자동차,한식-단품요리일반,서울  성동구  용답동,,서울 성동구,20030421,,1_10%이하,2_10-25%,2_10-25%,3_25-50%,3_25-50%,1_상위1구간,,195.29166666666666,323.0833333333333,9.2875,6.104166666666667,19.870833333333334,6.370833333333334,2.3147208333333333,7.580575,13.631075000000001,23.419608333333333,35.009504166666666,0.5061125,1.6652583333333333,2.998091666666667,5.159558333333334,7.7071625,33.53791666666667,7.146666666666667,6.958333333333333,34.28333333333333,58.74583333333334,24,2024-12-01
E1C897591D,코페*,한양대,한식-단품요리일반,서울  성동구  행당동,,서울 성동구,20061023,,1_10%이하,1_10%이하,1_10%이하,1_10%이하,6_90%초과(하위 10% 이하),3_상위3구간,,426.14166666666665,5001.6375,2.5375,7.925000000000001,19.8625,10.095833333333333,30.580737499999998,6.1227875,3.1465416666666663,4.3639125000000005,0.998025,37.10259583333333,7.410545833333334,3.8034583333333334,5.277754166666667,1.201975,54.78666666666667,5.674166666666667,25.604166666666668,10.845833333333333,63.5625,24,2024-12-01
1F7ECE7D49,아폴*********,왕십리,한식-단품요리일반,서울  성동구  행당동,,서울 성동구,20110105,,2_10-25%,1_10%이하,1_10%이하,1_10%이하,4_50-75%,4_상위4구간,,268.20416666666665,1054.1041666666667,6.1875,12.495833333333332,19.8625,9.583333333333334,10.236845833333334,10.068091666666666,9.794633333333334,9.729133333333333,7.981504166666666,11.1839875,10.986075,10.692866666666667,10.620866666666666,8.710162500000001,18.65625,7.82125,37.5625,6.4624999999999995,55.975,24,2024-12-01
25D2E98F3A,무탁****,왕십리,한식-단품요리일반,서울  성동구  행당동,,서울 성동구,20111107,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,65.05,155.52916666666667,28.795833333333334,35.604166666666664,16.904166666666665,9.583333333333334,5.947808333333334,10.503866666666667,14.079816666666666,11.4793875,4.310533333333333,6.914691666666666,12.183633333333333,16.32851666666667,13.249779166666668,4.9853,28.6675,6.554166666666667,41.641666666666666,22.816666666666666,35.52916666666667,24,2024-12-01
E9D4FB94A0,참나*****,알수없음,한식-단품요리일반,서울 성동구 동일로 83,,서울 성동구,20100223,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,3.4250000000000003,139.03333333333333,94.02499999999999,14.191666666666668,0.0,16.904166666666665,,8.866754166666666,19.021283333333333,18.780925,17.872941666666666,12.15525,2.6832458333333338,5.820383333333333,5.7024083333333335,5.414558333333333,3.6947500000000004,22.140833333333333,7.227916666666666,16.8625,25.645833333333332,57.48333333333333,24,2024-12-01
03A222EE9D,놀란*,한양대,한식-단품요리일반,서울 성동구 마조로 17,,서울 성동구,20140609,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,0.0,59.37916666666666,53.01666666666666,25.28333333333333,49.775,19.870833333333334,10.095833333333333,31.68914583333333,11.499629166666667,8.1110875,7.318733333333333,2.8445625,19.8941875,7.175370833333333,5.0889125,4.593766666666666,1.7721041666666666,13.985833333333332,6.334166666666667,36.36666666666667,7.0874999999999995,56.5375,24,2024-12-01
E014ED20D7,유어***,금남시장,한식-단품요리일반,서울 성동구 금호로 17.,,서울 성동구,20131016,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,82.90869565217392,0.3958333333333333,1.5583333333333333,88.1875,80.84583333333333,16.904166666666665,8.529166666666667,2.1178208333333335,23.906066666666664,7.67765,14.648116666666667,1.2989708333333334,1.6363458333333334,21.5106,9.918183333333333,16.497716666666665,0.8051958333333333,10.322083333333333,3.42,47.58181818181818,0.0,52.41818181818182,24,2024-12-01
93F595E5D2,삼미**,알수없음,한식-단품요리일반,서울 성동구 난계로 97.,,서울 성동구,20150121,,2_10-25%,6_90%초과(하위 10% 이하),5_75-90%,5_75-90%,4_50-75%,1_상위1구간,,9.833333333333334,9.295833333333333,64.06666666666666,0.0,19.870833333333334,,4.32165,10.847158333333333,8.800191666666667,18.836916666666667,31.17595833333333,1.3325166666666666,3.7445083333333335,3.0581416666666663,6.050583333333333,11.840708333333334,22.465833333333332,5.912916666666667,52.130434782608695,1.8130434782608698,46.060869565217395,24,2024-12-01
