ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
145BA84596,고향***,한양대,한식-찌개/전골,서울 성동구 사근동,,서울 성동구,20140618,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,5_75-90%,1_상위1구간,,53.04583333333333,108.94166666666666,32.88333333333333,55.300000000000004,16.904166666666665,10.095833333333333,33.60324583333333,9.6105125,6.9796708333333335,15.235358333333332,4.471320833333333,14.2550875,4.168654166666667,2.9953291666666666,6.718808333333333,1.9620125,37.446666666666665,6.223333333333333,43.62083333333334,13.991666666666667,42.37916666666667,24,2024-12-01
3E96264C22,맛나**,왕십리,한식-찌개/전골,서울  성동구  홍익동,,서울 성동구,20060216,,1_10%이하,1_10%이하,2_10-25%,1_10%이하,2_10-25%,4_상위4구간,,835.7291666666666,448.9166666666667,0.5458333333333333,1.9416666666666667,18.883333333333333,9.583333333333334,18.517783333333334,15.063304166666667,8.129758333333333,10.175779166666667,5.814616666666667,13.582216666666667,11.045029166666666,5.961908333333334,7.461720833333334,4.26455,8.085833333333333,7.32375,21.241666666666667,5.404166666666666,73.33749999999999,24,2024-12-01
50832A2B37,비*,한양대,한식-찌개/전골,서울 성동구 사근동길 4,,서울 성동구,20090729,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,0.0,81.07916666666667,87.77083333333333,21.3875,43.64166666666667,16.904166666666665,10.095833333333333,41.115229166666666,16.884433333333334,7.003233333333333,7.183820833333333,1.475558333333333,14.5514375,6.094733333333333,2.5676,2.5828458333333333,0.5411083333333333,20.301666666666666,5.623333333333334,31.808333333333334,18.075,50.104166666666664,24,2024-12-01
968834B420,백채*********,뚝섬,한식-찌개/전골,서울 성동구 상원길 24.,한식-찌개/전골1,서울 성동구,20111205,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,110.74583333333334,160.66666666666666,23.370833333333334,37.94166666666667,12.783333333333333,8.029166666666667,15.237812499999999,14.968920833333334,10.750320833333333,9.088754166666666,6.486858333333333,11.3496875,11.764412499999999,8.253845833333333,7.169579166666666,4.921475,39.14625,11.150416666666667,40.3375,27.53333333333333,32.125,24,2024-12-01
AA2334143C,잼(******,왕십리,한식-찌개/전골,서울 성동구 마장로 244.,,서울 성동구,20181211,,3_25-50%,4_50-75%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,42.19565217391305,57.62083333333334,35.57083333333333,32.7625,38.69583333333333,16.904166666666665,9.583333333333334,14.0252,14.563804166666666,9.500633333333333,15.647154166666667,7.960766666666667,8.653966666666667,9.069529166666667,5.8827,9.748679166666667,4.9434,13.677916666666667,7.335,52.69130434782609,9.773913043478261,37.52173913043478,24,2024-12-01
CF178591B8,조개****,알수없음,한식-찌개/전골,서울 성동구 마장로 285.,,서울 성동구,20070601,,1_10%이하,3_25-50%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,11.733333333333334,82.44583333333334,49.199999999999996,24.1125,0.0,16.904166666666665,,11.210079166666667,15.604316666666668,15.224304166666668,20.89271666666667,11.601845833333334,3.8399208333333337,5.329016666666667,5.2048625,7.1322833333333335,3.9606541666666666,25.655416666666667,6.972916666666666,55.37083333333334,6.075,38.56666666666667,24,2024-12-01
F64BE13740,성수*******************,뚝섬,한식-찌개/전골,서울 성동구 상원12길 30.,,서울 성동구,20070829,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,0.45416666666666666,128.20416666666668,149.50416666666666,15.183333333333332,20.920833333333334,16.904166666666665,8.029166666666667,13.636808333333333,21.966112499999998,15.870775,11.858600000000001,3.793158333333333,6.554858333333333,10.767220833333333,7.883391666666667,5.8039,1.865175,31.261666666666667,6.27625,15.891666666666666,37.604166666666664,46.50833333333333,24,2024-12-01
BC38E02E89,곱창****,왕십리,한식-찌개/전골,서울 성동구 고산자로 293.,,서울 성동구,20140605,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,26.99473684210526,6.254166666666666,3.608333333333333,68.60000000000001,65.03333333333333,16.904166666666665,9.583333333333334,24.146012499999998,10.848041666666667,3.1568375,12.255666666666668,5.226916666666667,19.712320833333333,8.268625,2.2514958333333333,9.735999999999999,4.418916666666667,4.635833333333333,5.2091666666666665,23.427777777777777,2.511111111111111,74.0611111111111,24,2024-12-01
78BFAC9BF1,왕십*****,성수,한식-찌개/전골,서울 성동구 뚝섬로 360-5.,,서울 성동구,20140129,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,85.02916666666667,20.779166666666665,14.591666666666667,50.75416666666666,42.78333333333333,16.904166666666665,8.320833333333333,12.673395833333332,16.657475,9.170958333333333,10.866937499999999,3.8575250000000003,11.2849375,14.871691666666665,7.262375,9.5955625,3.7758083333333334,10.931666666666667,6.28125,40.40416666666667,11.816666666666668,47.791666666666664,24,2024-12-01
FFD5654C3D,부대***,한양대,한식-찌개/전골,서울 성동구 마조로1가길 4,,서울 성동구,20110218,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,2.004166666666667,143.56666666666666,266.875,11.816666666666668,30.695833333333336,19.8625,10.095833333333333,28.55399583333333,11.457687499999999,8.831045833333333,9.0528375,2.5094875,18.737670833333333,7.508979166666666,5.781454166666666,5.930495833333333,1.6446791666666665,18.652916666666666,6.655,34.979166666666664,14.674999999999999,50.34166666666667,24,2024-12-01
FA6BD5D16F,왕십****,왕십리,한식-찌개/전골,서울 성동구 마장로26길 16.,,서울 성동구,20140828,,2_10-25%,3_25-50%,4_50-75%,4_50-75%,1_10%이하,1_상위1구간,,194.01250000000002,71.18333333333334,7.120833333333334,13.816666666666668,18.883333333333333,9.583333333333334,19.709254166666668,14.274204166666665,7.2728375000000005,8.08245,4.0266625,17.228245833333332,12.496629166666667,6.3521624999999995,7.063383333333333,3.515004166666667,7.040416666666666,6.704583333333333,20.325,4.816666666666667,74.85000000000001,24,2024-12-01
