ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
B0177B88BD,행운**,성수,한식뷔페,서울 성동구 연무장13길 5.,,서울 성동구,20160825,,3_25-50%,3_25-50%,2_10-25%,3_25-50%,4_50-75%,2_상위2구간,,145.04999999999998,457.10833333333335,15.470833333333333,19.462500000000002,19.870833333333334,8.320833333333333,10.108245833333333,28.517245833333334,15.0107,13.921025,10.8943625,2.7750874999999997,7.820254166666667,4.130966666666667,3.791475,3.022304166666667,41.932916666666664,7.80375,8.325000000000001,30.308333333333334,61.36666666666667,24,2024-12-01
A88840BB81,서산**,알수없음,한식뷔페,서울 성동구 아차산로13길 6,,서울 성동구,19990622,,1_10%이하,4_50-75%,3_25-50%,4_50-75%,5_75-90%,5_상위5구간,,42.11666666666667,79.02499999999999,32.958333333333336,0.0,19.870833333333334,,17.526758333333333,26.491904166666668,16.616425,13.658949999999999,9.270891666666667,3.431575,5.2372625,3.258575,2.6952166666666666,1.8249416666666667,27.21375,7.920416666666667,11.229166666666666,16.929166666666667,71.84166666666667,24,2024-12-01
0ACB1E7718,그린******,알수없음,한식뷔페,서울특별시 성동구 동일로 143,,서울 성동구,20180420,,3_25-50%,3_25-50%,3_25-50%,4_50-75%,3_25-50%,5_상위5구간,,160.50416666666666,173.36666666666667,10.691666666666668,0.0,19.870833333333334,,15.534170833333334,28.140608333333333,16.743158333333334,10.938575,10.600316666666666,3.4283291666666664,6.196891666666667,3.706841666666667,2.4780916666666664,2.262183333333333,39.84916666666667,6.621666666666666,7.820833333333333,27.349999999999998,64.82916666666667,24,2024-12-01
EBCBFD170F,그린**,알수없음,한식뷔페,서울특별시 성동구 동일로 143,,서울 성동구,20201104,,4_50-75%,4_50-75%,4_50-75%,4_50-75%,4_50-75%,5_상위5구간,,55.550000000000004,107.07916666666667,26.066666666666666,0.0,19.870833333333334,,11.587566666666667,24.679212500000002,17.635254166666666,9.659075,6.6373125,5.4541,10.395787499999999,7.273079166666666,3.8867583333333333,2.7751875,40.33583333333333,7.139166666666667,9.558333333333334,28.0,62.44166666666666,24,2024-12-01
3B0E5FAA4D,그린****,뚝섬,한식뷔페,서울특별시 성동구 상원1길 25,,서울 성동구,20200423,,3_25-50%,3_25-50%,2_10-25%,3_25-50%,4_50-75%,3_상위3구간,,160.34166666666667,521.4208333333333,10.775,16.358333333333334,19.870833333333334,8.029166666666667,16.3838625,26.4251625,13.469629166666666,6.5500541666666665,4.9657333333333336,7.4369708333333335,12.512337500000001,6.605370833333333,3.1957791666666666,2.434266666666667,48.53375,6.495416666666666,12.245833333333332,38.99166666666667,48.75416666666666,24,2024-12-01
6384E450BD,조교**,왕십리,한식뷔페,서울특별시 성동구 고산자로 299,,서울 성동구,20240403,,5_75-90%,5_75-90%,4_50-75%,5_75-90%,4_50-75%,1_상위1구간,,13.544444444444444,28.811111111111114,72.73333333333333,69.71111111111111,18.677777777777777,9.255555555555555,0.7444999999999999,2.394188888888889,20.781677777777777,8.950866666666666,24.06093333333333,0.2777222222222222,0.9946999999999999,17.673877777777776,5.404688888888889,18.683511111111113,37.904444444444444,29.146666666666665,42.43333333333333,25.133333333333333,32.44444444444444,9,2024-12-01
75F4B46777,진수**,성수,한식뷔페,서울특별시 성동구 연무장13길 9,,서울 성동구,20171010,,3_25-50%,2_10-25%,1_10%이하,2_10-25%,4_50-75%,5_상위5구간,,211.52083333333334,599.3916666666667,11.4,15.095833333333333,19.870833333333334,8.320833333333333,13.6691375,26.0383875,14.282054166666667,11.664200000000001,12.097299999999999,3.8808624999999997,7.528279166666667,3.980445833333333,3.2941333333333334,3.561033333333333,46.27333333333333,9.220833333333333,6.875,31.025000000000002,62.1,24,2024-12-01
DDA448BE28,윤식*,알수없음,한식뷔페,서울특별시 성동구 연무장19길 12,,서울 성동구,20190318,,3_25-50%,3_25-50%,3_25-50%,4_50-75%,4_50-75%,5_상위5구간,,57.6,182.8166666666667,32.108333333333334,0.0,19.870833333333334,,17.098441666666666,33.9190375,12.194212499999999,7.326479166666666,4.7804166666666665,5.605725,11.110129166666667,3.9932874999999997,2.3943541666666666,1.5695833333333333,46.67958333333333,7.0975,8.208333333333334,25.504166666666666,66.27499999999999,24,2024-12-01
1545D071D9,토리*****,알수없음,한식뷔페,서울특별시 성동구 고산자로8길 20,,서울 성동구,20220211,,4_50-75%,4_50-75%,4_50-75%,5_75-90%,3_25-50%,1_상위1구간,,37.55833333333333,66.64166666666667,38.112500000000004,0.0,19.870833333333334,,3.7544458333333335,12.674245833333332,9.093983333333334,24.37942083333333,35.54833333333333,0.6622208333333334,2.688254166666667,1.4726833333333333,4.708079166666667,5.01,44.470416666666665,7.006666666666667,18.9625,34.84166666666667,46.1875,24,2024-12-01
3316D1C001,비원***************,알수없음,한식뷔페,서울특별시 성동구 광나루로6길 35,,서울 성동구,20170124,,3_25-50%,2_10-25%,1_10%이하,2_10-25%,4_50-75%,2_상위2구간,,600.0416666666666,1593.5333333333335,0.9583333333333334,0.0,16.712500000000002,,21.59765,29.99972083333333,14.916991666666666,9.165383333333333,5.0635,5.16485,7.129445833333333,3.5580083333333334,2.1887833333333333,1.2073333333333334,66.06333333333333,5.4875,6.279166666666666,46.270833333333336,47.45416666666667,24,2024-12-01
