ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
F3D0744667,비어**,알수없음,호프/맥주,서울 성동구 마장로 296,호프/맥주3,서울 성동구,20060925,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,180.32500000000002,184.9416666666667,11.237499999999999,0.0,11.358333333333334,,6.212425,9.984091666666666,13.264195833333334,25.95318333333333,15.549633333333333,2.570908333333333,4.0742416666666665,5.3941375,10.663483333333334,6.329533333333333,25.289583333333336,6.3620833333333335,48.112500000000004,11.325000000000001,40.55416666666667,24,2024-12-01
1F43B61BB2,든든****,한양대,호프/맥주,서울 성동구 마조로 17.,,서울 성동구,20130830,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,2_10-25%,6_상위6구간(하위1구간),38.22272727272727,16.595833333333335,17.045833333333334,78.04166666666667,75.1125,11.358333333333334,10.095833333333333,26.5706375,15.4273375,11.0167375,14.248658333333333,4.787620833333333,11.250195833333335,5.4643291666666665,4.016595833333334,5.576341666666667,1.6540458333333332,10.110833333333334,11.030416666666667,20.772727272727273,15.409090909090908,63.83181818181818,24,2024-12-01
3BCE6D8224,쏘러*,한양대,호프/맥주,서울 성동구 마조로 21.,,서울 성동구,20140722,,2_10-25%,5_75-90%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,53.84583333333333,55.675000000000004,34.50416666666667,54.74166666666667,14.841666666666667,10.095833333333333,41.206362500000004,20.004008333333335,5.0051250000000005,1.3466083333333334,4.1063625,15.876970833333333,8.279325,2.028208333333333,0.4700583333333333,1.6936375000000001,30.417916666666667,6.22625,34.53333333333333,5.904166666666666,59.56666666666666,24,2024-12-01
87EDA03BF6,뉴스*****,한양대,호프/맥주,서울 성동구 마조로 25.,호프/맥주7,서울 성동구,20150820,,2_10-25%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,169.55833333333334,143.9125,12.387500000000001,31.166666666666668,11.358333333333334,10.095833333333333,44.36490833333334,16.100570833333332,7.350445833333333,6.8020958333333335,1.0713541666666666,14.155925000000002,5.203595833333333,2.3828875,2.2187375,0.3411458333333333,9.803749999999999,7.138333333333333,24.8125,10.9375,64.25,24,2024-12-01
AB0A569DCA,먹태**,신금호,호프/맥주,서울 성동구 금호로 168.,,서울 성동구,20150812,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,36.791666666666664,38.13333333333333,45.92916666666667,44.24583333333334,14.841666666666667,9.308333333333334,3.5452,15.721337499999999,25.378829166666666,12.601245833333332,2.9729958333333335,2.3714666666666666,10.3661625,16.721170833333336,8.398754166666667,1.9270041666666666,21.691666666666666,7.07,59.4,4.520833333333333,36.079166666666666,24,2024-12-01
B8DFA92D86,규리******,성수,호프/맥주,서울 성동구 뚝섬로 392.,,서울 성동구,20180618,,3_25-50%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,98.7625,2.4791666666666665,3.6875,87.825,63.2125,11.358333333333334,8.320833333333333,27.565729166666667,15.946416666666666,9.722145833333334,6.084174999999999,6.725316666666667,14.717604166666666,8.049416666666668,4.657020833333333,2.6324916666666667,3.94135,8.215833333333334,6.736250000000001,32.22,16.666666666666668,51.11333333333334,24,2024-12-01
77F053DC44,행*,성수,호프/맥주,서울 성동구 아차산로 96,,서울 성동구,20011012,,1_10%이하,2_10-25%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,206.3125,192.89166666666665,9.1,13.862499999999999,14.841666666666667,8.320833333333333,10.985320833333333,16.992825,16.091516666666667,16.080016666666666,10.266887500000001,4.618845833333333,7.140508333333333,6.766816666666667,6.74915,4.3081125,18.168333333333333,7.122916666666666,22.508333333333336,29.691666666666666,47.833333333333336,24,2024-12-01
87EDAB1CB3,머니**,성수,호프/맥주,서울  성동구  성수2가1동,,서울 성동구,20000705,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,28.325,33.391666666666666,55.166666666666664,41.704166666666666,11.358333333333334,8.320833333333333,10.940154166666666,22.270591666666665,12.4817375,10.653570833333333,9.8207375,5.547345833333334,11.479408333333334,6.5057624999999994,5.396429166666667,4.900095833333333,18.836666666666666,6.840416666666666,51.45416666666667,8.816666666666666,39.74583333333333,24,2024-12-01
DC17B81D3E,튜니**,신금호,호프/맥주,서울 성동구 금호로11길 1,,서울 성동구,20110131,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,33.6875,35.645833333333336,56.395833333333336,51.354166666666664,11.358333333333334,9.308333333333334,1.1033375,8.179174999999999,11.914758333333333,15.6913125,31.5669625,0.5258291666666667,3.7749916666666667,5.547741666666667,7.2253541666666665,14.466370833333334,23.189166666666665,7.3495833333333325,56.85833333333333,5.229166666666667,37.90833333333333,24,2024-12-01
BFA11D536A,풀코*,알수없음,호프/맥주,서울 성동구 마장로27길 6,,서울 성동구,20040420,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,11.487499999999999,16.583333333333332,74.13333333333334,0.0,11.358333333333334,,0.34945833333333337,8.971945833333333,1.3216208333333332,21.486070833333333,39.476195833333335,0.196375,4.482220833333334,0.7117125,8.6097625,14.390470833333334,54.760416666666664,4.30875,76.03478260869565,10.404347826086957,13.556521739130435,24,2024-12-01
