ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
8F1003CA95,귀일**,금남시장,분식,서울 성동구 금호동3가,,서울 성동구,20160315,,3_25-50%,3_25-50%,2_10-25%,2_10-25%,4_50-75%,1_상위1구간,50.57916666666667,140.84166666666667,200.42499999999998,15.654166666666667,18.991666666666667,16.245833333333334,8.529166666666667,7.720141666666667,12.934225,13.303879166666666,14.648466666666666,10.190245833333334,5.413191666666666,9.061608333333334,9.333620833333333,10.272366666666667,7.138920833333334,27.065416666666668,6.90125,58.39166666666667,5.05,36.550000000000004,24,2024-12-01
04BACBFB49,해장***,금남시장,백반/가정식,서울 성동구 금호로 56,,서울 성동구,20070125,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,4_50-75%,4_상위4구간,,103.89166666666667,226.2541666666667,16.245833333333334,15.700000000000001,19.870833333333334,8.529166666666667,8.880395833333333,12.308708333333334,16.458295833333334,19.647345833333333,16.125545833333334,3.207104166666667,4.462125,5.941704166666667,7.127654166666667,5.874454166666666,28.618750000000002,6.489166666666667,66.73333333333333,3.716666666666667,29.554166666666664,24,2024-12-01
5946F40892,교촌******,금남시장,치킨,서울 성동구 금호로 62,치킨6,서울 성동구,20130325,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,62.199999999999996,486.98333333333335,443.1666666666667,1.3583333333333334,5.825,16.787499999999998,8.529166666666667,7.4641375,12.175849999999999,13.897308333333333,15.238900000000001,10.468024999999999,5.144195833333334,8.369983333333334,9.569358333333334,10.490266666666667,7.186141666666667,23.884583333333335,6.415,63.90833333333333,3.954166666666667,32.145833333333336,24,2024-12-01
BEFB51F3ED,뚱이***,금남시장,한식-감자탕,서울 성동구 장터3길 8,,서울 성동구,20150407,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,29.787499999999998,33.475,46.237500000000004,41.65416666666667,16.904166666666665,8.529166666666667,11.271358333333334,17.121083333333335,12.667679166666666,17.074720833333334,8.263745833333333,5.728641666666667,8.620583333333334,6.4198208333333335,8.637779166666666,4.198754166666666,17.618333333333332,7.306666666666666,58.25,10.783333333333333,30.958333333333332,24,2024-12-01
4349A8302A,롯데******,금남시장,햄버거,서울 성동구 장터길 23,햄버거1,서울 성동구,20150812,20250818.0,2_10-25%,2_10-25%,1_10%이하,1_10%이하,4_50-75%,2_상위2구간,52.583333333333336,108.14999999999999,121.5125,22.145833333333332,8.887500000000001,10.658333333333333,8.529166666666667,14.737233333333334,14.268479166666667,10.662379166666666,9.676958333333333,6.820870833333333,11.521099999999999,11.127354166666665,8.325120833333333,7.552208333333333,5.329129166666667,36.931666666666665,6.449166666666667,66.84583333333333,4.204166666666667,28.95,24,2024-12-01
9AE54FE931,두레******,금남시장,베이커리,서울 성동구 장터길 25,베이커리2,서울 성동구,20080325,,1_10%이하,3_25-50%,2_10-25%,2_10-25%,4_50-75%,3_상위3구간,30.795833333333334,64.09166666666667,61.65833333333333,32.020833333333336,19.491666666666667,14.012500000000001,8.529166666666667,11.0261,12.605816666666668,11.9044125,14.527495833333333,13.1075375,6.4114,7.3441833333333335,6.945587499999999,8.472504166666667,7.642462500000001,24.535,6.657916666666666,70.04166666666667,2.6166666666666667,27.34166666666667,24,2024-12-01
4EE6AA4F0F,먹거****,금남시장,한식-육류/고기,서울 성동구 장터길 30,,서울 성동구,20110303,,2_10-25%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,187.48749999999998,62.770833333333336,9.258333333333333,8.941666666666666,16.904166666666665,8.529166666666667,7.714579166666667,19.0274125,18.074433333333335,11.335262499999999,7.3880375,4.4145875,10.922587499999999,10.3714,6.523070833333333,4.2452958333333335,18.818749999999998,6.895833333333333,55.949999999999996,4.633333333333334,39.420833333333334,24,2024-12-01
0D30BE35C0,온달***,금남시장,한식-육류/고기,서울 성동구 장터길 37,,서울 성동구,20150811,,2_10-25%,5_75-90%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,1.761111111111111,21.474999999999998,31.1875,51.42083333333333,46.22083333333333,16.904166666666665,8.529166666666667,2.743691666666667,8.04445,9.853150000000001,14.112512500000001,21.5418,2.102141666666667,6.218050000000001,7.667683333333333,10.933320833333333,16.7457,20.212083333333332,6.444583333333333,63.88333333333333,4.858333333333333,31.25,24,2024-12-01
99A8865F14,백미*,금남시장,떡/한과 제조,서울 성동구 장터길 47,,서울 성동구,20011229,,1_10%이하,3_25-50%,2_10-25%,2_10-25%,5_75-90%,4_상위4구간,,143.54583333333332,160.87083333333334,18.033333333333335,23.45,12.0875,8.529166666666667,1.1404125,4.2764875,6.667691666666666,10.665758333333335,13.069220833333333,2.0470875,7.665179166666667,11.944808333333334,19.12590833333333,23.405779166666665,32.22166666666667,6.587083333333333,71.25,2.3375,26.40833333333333,24,2024-12-01
D0ECE18966,진미**,금남시장,한식-육류/고기,서울 성동구 장터길 47,,서울 성동구,20070214,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,110.19166666666666,116.99166666666667,18.45,17.083333333333332,16.904166666666665,8.529166666666667,13.931945833333332,15.9016375,11.1855125,11.958054166666665,7.2386124999999995,9.193054166666666,10.4983625,7.385320833333334,7.8961125,4.782220833333334,20.631666666666668,7.33625,60.15,4.045833333333333,35.8125,24,2024-12-01
