ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
1F5C564B04,맛드*,뚝섬,반찬,서울  성동구  상원길,,서울 성동구,20130410,,2_10-25%,2_10-25%,1_10%이하,1_10%이하,5_75-90%,3_상위3구간,,308.73333333333335,621.4125,4.358333333333333,11.174999999999999,11.5875,8.029166666666667,3.6523125000000003,7.254366666666667,9.913925,9.081425000000001,6.515770833333334,6.389354166666667,12.658133333333334,17.331908333333335,15.847741666666666,11.346729166666668,54.32208333333333,5.045,63.925000000000004,14.470833333333333,21.587500000000002,24,2024-12-01
69EE47A25B,피자********,뚝섬,피자,서울  성동구  상원길,피자8,서울 성동구,20121231,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,274.5208333333333,456.375,3.9125,21.599999999999998,21.204166666666666,8.029166666666667,14.148704166666667,14.325604166666666,9.714550000000001,10.135320833333333,7.6004125,11.159629166666667,11.286895833333332,7.652116666666667,7.989679166666666,5.9787541666666675,41.82,5.377083333333334,71.47083333333333,8.329166666666667,20.212500000000002,24,2024-12-01
6E87D8EF74,담바*,뚝섬,한식-육류/고기,서울  성동구  상원길,,서울 성동구,20140318,,2_10-25%,2_10-25%,3_25-50%,3_25-50%,2_10-25%,1_상위1구간,,188.28333333333333,195.0041666666667,8.633333333333333,13.795833333333334,19.8625,8.029166666666667,6.740645833333333,21.61821666666667,21.62013333333333,17.61385,7.703783333333334,2.2468541666666666,7.019283333333333,7.042366666666666,5.865316666666666,2.5128833333333334,44.27708333333334,5.479583333333333,20.054166666666667,54.104166666666664,25.854166666666668,24,2024-12-01
8749D150F3,오가******,뚝섬,한식-해물/생선,서울  성동구  상원6길,,서울 성동구,20111103,,2_10-25%,4_50-75%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,49.262499999999996,13.754166666666668,34.770833333333336,36.574999999999996,16.904166666666665,8.029166666666667,8.586058333333334,15.706295833333334,14.748545833333333,18.770395833333332,17.005083333333335,2.7514416666666666,5.4103708333333325,5.1597875,6.4379375,5.44075,16.045416666666668,7.664583333333333,40.90416666666667,17.791666666666668,41.295833333333334,24,2024-12-01
7D6F493369,춘천***,뚝섬,한식-육류/고기,서울 성동구 상원6길 5,한식-육류/고기25,서울 성동구,20000318,,1_10%이하,4_50-75%,3_25-50%,4_50-75%,4_50-75%,1_상위1구간,,83.79583333333333,103.62916666666666,24.333333333333332,28.933333333333334,16.904166666666665,8.029166666666667,8.38245,19.1018,14.720345833333333,14.627908333333332,16.45125833333333,3.06755,6.956533333333334,5.321320833333333,5.342925,6.011241666666667,32.71875,6.692083333333334,28.75,34.708333333333336,36.53333333333333,24,2024-12-01
98BA99BFE9,가든***,뚝섬,축산물,서울 성동구 상원8길 1,,서울 성동구,20090717,,1_10%이하,1_10%이하,3_25-50%,3_25-50%,2_10-25%,1_상위1구간,,289.40416666666664,179.48333333333335,4.229166666666667,7.020833333333333,11.816666666666668,8.029166666666667,0.5159083333333333,3.265870833333333,3.0829541666666667,7.109933333333333,17.636466666666667,1.092425,7.079962500000001,6.637879166666667,15.431733333333334,38.1552,54.530833333333334,5.0725,80.3875,8.875,10.75,24,2024-12-01
54529B6426,둘둘***********,뚝섬,치킨,서울 성동구 상원길 52,치킨14,서울 성동구,20101101,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,16.991666666666667,139.92083333333332,118.60833333333333,17.558333333333334,31.46666666666667,16.787499999999998,8.029166666666667,6.101391666666667,11.103050000000001,19.004966666666665,20.384120833333334,12.832070833333333,2.706941666666667,4.892783333333333,8.370033333333334,8.990879166666668,5.6262625,21.271666666666665,7.340416666666667,50.25416666666666,17.254166666666666,32.47083333333333,24,2024-12-01
3DD6585AD5,이흥***,뚝섬,한식-육류/고기,서울 성동구 상원길 54,,서울 성동구,19990205,,1_10%이하,2_10-25%,3_25-50%,3_25-50%,3_25-50%,4_상위4구간,18.279166666666665,220.85416666666666,160.375,7.3125,12.516666666666666,16.904166666666665,8.029166666666667,10.331008333333333,23.02660416666667,18.420704166666667,11.101208333333334,7.147479166666667,4.431491666666667,9.8400625,7.891795833333333,4.782125,3.0358541666666667,29.059583333333332,6.339166666666666,29.97083333333333,38.12916666666667,31.90416666666667,24,2024-12-01
2B89D787CB,왕짜*,뚝섬,중식당,서울 성동구 상원길 60,중식당3,서울 성동구,20181205,,3_25-50%,2_10-25%,1_10%이하,1_10%이하,4_50-75%,1_상위1구간,,224.7875,429.10833333333335,7.3125,9.579166666666667,16.979166666666668,8.029166666666667,11.632516666666668,19.5242125,13.8013375,13.898650000000002,10.869179166666667,5.0466500000000005,8.471620833333334,5.990329166666666,6.030516666666666,4.718320833333333,38.5875,6.175,40.36666666666667,24.25,35.38333333333333,24,2024-12-01
224AE94A24,예*,뚝섬,백반/가정식,서울  성동구  상원12길,,서울 성동구,20121022,,2_10-25%,2_10-25%,2_10-25%,3_25-50%,3_25-50%,1_상위1구간,,179.95833333333334,346.8875,10.866666666666667,16.454166666666666,19.870833333333334,8.029166666666667,17.59855,21.41633333333333,16.342554166666666,12.754870833333333,9.727704166666667,5.172283333333334,5.946166666666667,4.5116125,3.7409625,2.797295833333333,48.35916666666666,6.507916666666667,21.670833333333334,35.729166666666664,42.59166666666667,24,2024-12-01
