ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
3B0F367222,맛닭******,성수,치킨,서울 성동구 성수동2가,치킨18,서울 성동구,20000906,,1_10%이하,2_10-25%,3_25-50%,2_10-25%,3_25-50%,3_상위3구간,0.7416666666666667,644.4041666666667,423.50416666666666,0.65,6.495833333333334,16.787499999999998,8.320833333333333,13.514716666666667,17.36498333333333,13.274500000000002,16.747254166666668,11.066945833333333,5.26445,6.75585,5.167166666666667,6.5194125000000005,4.3038875,17.298333333333336,7.010833333333333,24.495833333333334,24.662499999999998,50.84166666666667,24,2024-12-01
4208C4C0A7,삼오***,성수,식품 제조,서울 성동구 성수동2가,,서울 성동구,20160729,,3_25-50%,5_75-90%,5_75-90%,5_75-90%,1_10%이하,1_상위1구간,,11.795833333333334,3.0,38.375,56.61666666666667,8.158333333333333,8.320833333333333,0.5178958333333333,0.3751291666666667,1.3621666666666667,5.5822625,13.385616666666666,0.7904375,2.695704166666667,3.221166666666667,23.184404166666667,48.87688333333333,31.99291666666667,7.640416666666667,69.66956521739131,6.521739130434782,23.808695652173913,24,2024-12-01
838461E308,찐짜**,성수,백반/가정식,서울 성동구 성수동2가,,서울 성동구,20150824,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,50.9375,100.19166666666666,30.150000000000002,30.995833333333334,19.870833333333334,8.320833333333333,22.871775,20.174458333333334,5.507691666666666,4.615591666666666,1.8033000000000001,18.707391666666666,16.517208333333333,4.538141666666667,3.7802416666666665,1.4800333333333333,6.317083333333334,7.386666666666667,12.137500000000001,8.3375,79.53333333333333,24,2024-12-01
E8E75C90BA,20****,성수,한식-해물/생선,서울 성동구 성수동2가,,서울 성동구,20090804,,1_10%이하,2_10-25%,3_25-50%,3_25-50%,2_10-25%,1_상위1구간,14.950000000000001,109.72083333333335,53.44166666666666,24.458333333333332,20.6875,17.304166666666667,8.320833333333333,12.730183333333335,19.11475833333333,10.667045833333333,12.440141666666667,11.289583333333333,6.503150000000001,9.726908333333332,5.428787499999999,6.330691666666667,5.7437499999999995,14.231666666666667,8.337083333333334,35.94583333333333,12.6875,51.36666666666667,24,2024-12-01
37FE3D6CC0,빙아********,성수,아이스크림/빙수,서울 성동구 성수동2가,,서울 성동구,20230421,,5_75-90%,4_50-75%,1_10%이하,1_10%이하,6_90%초과(하위 10% 이하),1_상위1구간,,188.33333333333334,456.00952380952384,22.461904761904762,30.299999999999997,15.347619047619048,8.342857142857142,20.887995,13.730250000000002,8.763160000000001,5.983145,2.470545,19.392005,12.784749999999999,8.17184,5.541855,2.274455,27.294,17.708,43.85,9.775,46.375,21,2024-12-01
66FA72C189,지성**,성수,백반/가정식,서울 성동구 둘레5길 15,,서울 성동구,20081103,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,4_50-75%,1_상위1구간,,14.85,35.699999999999996,60.762499999999996,50.800000000000004,19.870833333333334,8.320833333333333,7.313091666666668,19.2101875,24.082629166666667,14.916675,13.408058333333335,2.0494083333333335,5.281479166666666,6.446537500000001,3.9124916666666665,3.4086083333333335,31.62625,8.589166666666667,43.52916666666667,10.795833333333334,45.69166666666666,24,2024-12-01
81FB160AA4,풍년**,성수,미곡상,서울 성동구 뚝섬로 404,,서울 성동구,20070710,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,4_50-75%,1_상위1구간,,17.533333333333335,82.16666666666667,41.483333333333334,52.0,6.441666666666666,8.320833333333333,12.148545833333332,10.30435,9.683966666666667,15.596975,15.554508333333333,6.0847875,6.52065,6.0452,8.728025,9.353825,32.57958333333333,5.014166666666667,39.824999999999996,20.575,39.604166666666664,24,2024-12-01
6D19A5E92A,중국*,성수,중식당,서울 성동구 뚝섬로 404,,서울 성동구,20070808,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,32.35,35.387499999999996,53.208333333333336,36.24166666666667,16.979166666666668,8.320833333333333,9.6708,21.792504166666664,15.2961875,10.809058333333333,14.878408333333333,3.625033333333333,8.2241625,5.7913125,4.074275,5.834091666666667,28.1075,7.0495833333333335,23.549999999999997,28.40416666666667,48.03333333333333,24,2024-12-01
F42D0B483B,동부**,성수,축산물,서울 성동구 성수1가1동,,서울 성동구,20140212,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,2.5833333333333335,0.1125,76.91250000000001,70.3125,11.816666666666668,8.320833333333333,,,,,,,,,,,35.294117647058826,5.882352941176471,,,,24,2024-12-01
2889D57BC9,영남***,성수,식품 제조,서울  성동구  성수동2가,,서울 성동구,20111214,20250731.0,2_10-25%,4_50-75%,5_75-90%,4_50-75%,3_25-50%,6_상위6구간(하위1구간),,26.5625,10.754166666666668,32.824999999999996,49.89166666666667,8.929166666666665,8.320833333333333,0.2461875,2.4341458333333335,5.0458125,6.250545833333334,18.870004166666664,0.5746458333333333,4.353354166666667,10.4666875,13.366120833333333,38.392495833333335,35.12291666666667,7.853750000000001,82.7375,6.120833333333334,11.141666666666666,24,2024-12-01
E23D8D8DEC,우*,성수,축산물,서울 성동구 둘레11길 26,,서울 성동구,20020715,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,13.841666666666667,11.975,54.57083333333333,46.57916666666667,11.816666666666668,8.320833333333333,2.0889583333333333,1.789775,2.4743666666666666,5.209866666666667,17.454070833333333,5.186041666666667,4.222725,6.208966666666666,12.627633333333334,42.725095833333334,28.11375,6.614166666666667,71.82083333333334,2.1875,25.9875,24,2024-12-01
23B6250706,행복**,성수,백반/가정식,서울 성동구 둘레15길 14,,서울 성동구,20110408,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,4_50-75%,1_상위1구간,83.2625,8.170833333333333,23.758333333333336,67.98333333333333,55.40416666666667,19.870833333333334,8.320833333333333,12.012808333333334,19.508366666666667,8.841520833333334,7.2606375000000005,3.0509083333333336,11.803858333333332,19.229133333333333,8.383479166666666,7.0518624999999995,2.8657583333333334,27.728333333333335,8.258750000000001,49.72173913043478,3.5130434782608693,46.76086956521739,24,2024-12-01
9635DC4359,농우*,성수,축산물,서울 성동구 둘레15길 16,,서울 성동구,20070525,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,18.270833333333332,15.016666666666666,49.65833333333333,42.9125,11.816666666666668,8.320833333333333,5.666941666666666,5.8079875,6.9707625,9.0380375,20.44645,6.433058333333334,6.037845833333333,7.745904166666667,9.820295833333333,22.016050000000003,47.89541666666667,5.68875,74.52499999999999,5.533333333333334,19.945833333333333,24,2024-12-01
5BF5A99836,성수**,성수,분식,서울 성동구 뚝섬로 337.,,서울 성동구,20141127,,2_10-25%,3_25-50%,2_10-25%,1_10%이하,4_50-75%,1_상위1구간,,195.15,583.7041666666667,10.579166666666667,11.766666666666666,17.404166666666665,8.320833333333333,9.697941666666667,15.334641666666668,14.1790625,12.2706,7.334320833333333,6.752058333333333,10.748691666666666,9.891770833333334,8.608566666666666,5.182345833333334,43.29583333333333,5.8325,31.170833333333334,27.320833333333336,41.516666666666666,24,2024-12-01
9CAEFAC424,뚝섬***,성수,한식-육류/고기,서울 성동구 뚝섬로 338.,,서울 성동구,20080801,,1_10%이하,2_10-25%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,,230.61666666666667,126.79166666666667,6.545833333333333,10.5,16.904166666666665,8.320833333333333,11.181437500000001,16.91593333333333,12.722975,18.653466666666667,11.345545833333333,4.5310625,7.009066666666667,5.243691666666667,7.717366666666667,4.671120833333333,35.55625,6.18875,34.708333333333336,28.25,37.045833333333334,24,2024-12-01
B08C05B8DC,한촌*********,성수,한식-국밥/설렁탕,서울 성동구 뚝섬로 389.,한식-국밥/설렁탕14,서울 성동구,20141230,,2_10-25%,2_10-25%,2_10-25%,2_10-25%,3_25-50%,1_상위1구간,34.87916666666667,276.52916666666664,319.2375,4.908333333333333,8.541666666666666,16.904166666666665,8.320833333333333,7.218083333333333,14.527979166666666,16.60605,14.913441666666666,11.66545,3.9319166666666665,7.842854166666666,8.977283333333334,8.032391666666667,6.280383333333333,29.73125,5.892083333333333,35.670833333333334,22.1375,42.208333333333336,24,2024-12-01
