ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
4DEDE7CD03,닭한*****,신금호,한식-육류/고기,서울 성동구 금호동2가,,서울 성동구,20041102,,1_10%이하,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,43.94444444444444,58.94583333333333,64.50416666666666,33.30416666666667,34.5375,16.904166666666665,9.308333333333334,7.8771708333333335,14.690604166666667,15.075833333333334,14.156954166666667,14.287729166666667,4.047829166666666,7.430229166666667,7.815833333333333,7.3222125,7.308104166666666,24.9275,7.894166666666667,53.800000000000004,12.625,33.59166666666667,24,2024-12-01
3C97811992,강정***,신금호,치킨,서울  성동구  무수막길,,서울 성동구,20091029,,1_10%이하,4_50-75%,4_50-75%,3_25-50%,4_50-75%,1_상위1구간,11.579166666666666,41.800000000000004,37.57083333333333,41.30833333333333,33.43333333333333,14.200000000000001,9.308333333333334,9.357754166666666,11.775929166666666,9.671070833333333,12.853225,9.259375,8.1714125,10.3782375,8.628929166666667,11.521775,8.390625,34.73625,5.627916666666667,73.6875,4.491666666666666,21.825,24,2024-12-01
1527B8DFD5,미스***,신금호,치킨,서울  성동구  무수막길,치킨21,서울 성동구,20121023,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,15.5375,166.52916666666667,210.97916666666666,11.0375,24.587500000000002,16.787499999999998,9.308333333333334,8.751591666666666,13.195379166666667,13.2374125,17.029574999999998,11.143966666666666,5.023408333333333,7.642120833333333,7.6625875,9.849591666666667,6.476866666666666,36.677083333333336,5.507916666666667,80.80833333333334,2.308333333333333,16.883333333333333,24,2024-12-01
F1823DF685,포마***,신금호,분식,서울 성동구 금호로 151,분식19,서울 성동구,20100624,,2_10-25%,3_25-50%,1_10%이하,1_10%이하,5_75-90%,3_상위3구간,13.575000000000001,330.2625,454.2625,4.1499999999999995,10.720833333333333,13.366666666666667,9.308333333333334,9.797020833333333,13.274920833333333,12.194866666666668,11.4644125,7.986270833333333,8.119645833333333,10.987579166666665,10.105133333333333,9.4855875,6.601229166666666,40.187916666666666,5.949166666666667,56.69166666666666,7.5625,35.729166666666664,24,2024-12-01
1361C9B25C,사와**,신금호,분식,서울 성동구 금호로 168,,서울 성동구,20081229,,1_10%이하,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,18.904166666666665,5.020833333333333,62.8125,66.35833333333333,13.366666666666667,9.308333333333334,4.2166958333333335,8.5342125,14.314620833333334,19.355770833333334,12.081341666666667,2.7333041666666666,5.0657875,9.114545833333333,15.3275625,9.260325,31.950833333333335,6.170416666666667,25.655,16.095,58.25,24,2024-12-01
C21A5454F4,우리**,신금호,미곡상,서울  성동구  금호동2가,,서울 성동구,20110314,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,1.5041666666666667,1.3708333333333333,71.75,82.575,6.441666666666666,9.308333333333334,0.0,0.0,0.0,0.22892916666666666,2.6460708333333334,0.0,0.0,0.0,2.121070833333333,95.00392916666668,67.36041666666667,0.0,100.0,0.0,0.0,24,2024-12-01
D66D8AD118,청과****,신금호,청과물,서울 성동구 금호로 164.,,서울 성동구,20050117,,1_10%이하,3_25-50%,2_10-25%,2_10-25%,4_50-75%,4_상위4구간,,83.47500000000001,119.96666666666665,19.4,28.370833333333334,10.6625,9.308333333333334,1.2533,4.619558333333333,7.923220833333333,10.265279166666668,15.200249999999999,1.9633666666666667,6.980441666666667,12.351779166666667,15.855554166666666,23.603916666666667,39.904583333333335,7.03625,62.645833333333336,2.654166666666667,34.7125,24,2024-12-01
AB0A569DCA,먹태**,신금호,호프/맥주,서울 성동구 금호로 168.,,서울 성동구,20150812,,2_10-25%,5_75-90%,5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,36.791666666666664,38.13333333333333,45.92916666666667,44.24583333333334,14.841666666666667,9.308333333333334,3.5452,15.721337499999999,25.378829166666666,12.601245833333332,2.9729958333333335,2.3714666666666666,10.3661625,16.721170833333336,8.398754166666667,1.9270041666666666,21.691666666666666,7.07,59.4,4.520833333333333,36.079166666666666,24,2024-12-01
13920AE06B,해마******,신금호,한식-육류/고기,서울 성동구 금호산길 62,,서울 성동구,20040901,,1_10%이하,3_25-50%,3_25-50%,3_25-50%,2_10-25%,1_상위1구간,12.204166666666666,156.56666666666666,101.25,12.633333333333333,15.65,16.904166666666665,9.308333333333334,5.3933333333333335,11.970475,20.058258333333335,17.633916666666668,5.482541666666666,3.465,7.775358333333333,13.066741666666667,11.574416666666666,3.567458333333333,29.596249999999998,6.7875000000000005,64.3875,4.366666666666666,31.25,24,2024-12-01
4EFDFC6E78,전주**,신금호,백반/가정식,서울 성동구 금호산길 71,,서울 성동구,20011207,,1_10%이하,3_25-50%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,96.64999999999999,104.70833333333333,18.745833333333334,23.233333333333334,19.870833333333334,9.308333333333334,1.1917458333333333,2.6923583333333334,8.734287499999999,15.999358333333333,37.97700416666667,0.5957541666666667,1.3493083333333333,4.386545833333334,8.008975,19.056329166666668,43.59,5.53,68.10833333333333,4.983333333333333,26.90416666666667,24,2024-12-01
6D023B142B,착한******,신금호,축산물,서울 성동구 무수막길 94,,서울 성동구,20150612,,2_10-25%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,97.14999999999999,106.91250000000001,19.116666666666667,18.845833333333335,11.816666666666668,9.308333333333334,0.6148250000000001,3.924304166666667,6.193016666666666,8.34,13.8485875,1.2351750000000001,8.0298625,12.615316666666667,16.930833333333332,28.280579166666666,49.82541666666666,5.417083333333333,85.30833333333334,4.383333333333334,10.325000000000001,24,2024-12-01
6402B38CAE,우리**,신금호,축산물,서울 성동구 무수막길 95,,서울 성동구,20070420,,1_10%이하,1_10%이하,2_10-25%,2_10-25%,3_25-50%,2_상위2구간,,372.8541666666667,278.71250000000003,2.6791666666666667,2.466666666666667,11.816666666666668,9.308333333333334,0.6308,2.8074166666666667,4.3253208333333335,6.803566666666666,8.619870833333334,2.0608666666666666,9.275916666666665,14.212179166666667,22.608933333333336,28.671795833333334,56.18541666666667,4.413333333333333,80.44583333333334,5.579166666666667,13.979166666666666,24,2024-12-01
F1039455F0,목포**,신금호,한식-육류/고기,서울 성동구 금호로 127 .,,서울 성동구,20160622,,3_25-50%,3_25-50%,4_50-75%,4_50-75%,2_10-25%,1_상위1구간,0.19333333333333333,147.97916666666666,55.300000000000004,12.637500000000001,15.575000000000001,16.904166666666665,9.308333333333334,1.4429875,10.039925,18.9462375,18.954558333333335,19.777629166666667,0.6445124999999999,4.460075,8.466262500000001,8.449608333333332,8.822370833333332,23.269583333333333,6.83875,49.07083333333333,5.654166666666666,45.275,24,2024-12-01
870775BC01,육장*******,신금호,한식-육류/고기,서울 성동구 금호로 127 .,한식-육류/고기20,서울 성동구,20160707,,3_25-50%,3_25-50%,3_25-50%,3_25-50%,3_25-50%,1_상위1구간,,171.5,96.09166666666665,9.883333333333335,12.700000000000001,16.904166666666665,9.308333333333334,4.837458333333333,10.1226375,15.104716666666667,13.611320833333332,13.229870833333335,3.6667083333333337,7.6773625,11.432783333333333,10.301179166666666,10.011795833333332,26.91875,6.4675,60.35,6.808333333333334,32.829166666666666,24,2024-12-01
DC17B81D3E,튜니**,신금호,호프/맥주,서울 성동구 금호로11길 1,,서울 성동구,20110131,,2_10-25%,4_50-75%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,,33.6875,35.645833333333336,56.395833333333336,51.354166666666664,11.358333333333334,9.308333333333334,1.1033375,8.179174999999999,11.914758333333333,15.6913125,31.5669625,0.5258291666666667,3.7749916666666667,5.547741666666667,7.2253541666666665,14.466370833333334,23.189166666666665,7.3495833333333325,56.85833333333333,5.229166666666667,37.90833333333333,24,2024-12-01
