ENCODED_MCT,MCT_NM,HPSN_MCT_BZN_CD_NM,HPSN_MCT_ZCD_NM,MCT_BSE_AR,MCT_BRD_NUM,MCT_SIGUNGU_NM,ARE_D,MCT_ME_D,MCT_OPE_MS_CN_latest,RC_M1_SAA_latest,RC_M1_TO_UE_CT_latest,RC_M1_UE_CUS_CN_latest,RC_M1_AV_NP_AT_latest,APV_CE_RAT_latest,DLV_SAA_RAT_mean,M1_SME_RY_SAA_RAT_mean,M1_SME_RY_CNT_RAT_mean,M12_SME_RY_SAA_PCE_RT_mean,M12_SME_BZN_SAA_PCE_RT_mean,M12_SME_RY_ME_MCT_RAT_mean,M12_SME_BZN_ME_MCT_RAT_mean,M12_MAL_1020_RAT_mean,M12_MAL_30_RAT_mean,M12_MAL_40_RAT_mean,M12_MAL_50_RAT_mean,M12_MAL_60_RAT_mean,M12_FME_1020_RAT_mean,M12_FME_30_RAT_mean,M12_FME_40_RAT_mean,M12_FME_50_RAT_mean,M12_FME_60_RAT_mean,MCT_UE_CLN_REU_RAT_mean,MCT_UE_CLN_NEW_RAT_mean,RC_M1_SHC_RSD_UE_CLN_RAT_mean,RC_M1_SHC_WP_UE_CLN_RAT_mean,RC_M1_SHC_FLP_UE_CLN_RAT_mean,data_month_count,latest_data_month
9A71D71270,미림**,알수없음,식품 제조,서울 성동구 마장동,,서울 성동구,20170817,,3_25-50%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,12.504166666666668,0.2041666666666667,43.525,0.0,8.158333333333333,,0.0,0.0,0.0,57.98,0.0,0.0,0.0,0.0,42.02,0.0,18.939090909090908,7.575909090909092,0.0,0.0,100.0,24,2024-12-01
27C88660A5,북*,알수없음,중식당,서울 성동구 송정동,,서울 성동구,20141217,,2_10-25%,4_50-75%,3_25-50%,3_25-50%,4_50-75%,1_상위1구간,,42.295833333333334,75.72916666666667,46.208333333333336,0.0,16.979166666666668,,9.761283333333333,16.034495833333335,14.703275,19.663979166666667,17.003791666666668,2.89705,4.719670833333333,4.3592249999999995,5.8026875,5.054541666666666,33.27,6.595833333333334,27.775000000000002,28.15416666666667,44.07916666666667,24,2024-12-01
E863289A7D,조은**,알수없음,한식-단품요리일반,서울 성동구 홍익동,,서울 성동구,20150116,,2_10-25%,4_50-75%,3_25-50%,4_50-75%,5_75-90%,5_상위5구간,,34.4,125.61666666666667,41.5375,0.0,19.8625,,7.935429166666666,17.877754166666666,13.396279166666666,13.300316666666667,9.4656375,4.8812375,11.034745833333332,8.162054166666666,8.21635,5.751029166666666,42.02333333333333,7.47375,32.300000000000004,27.9375,39.737500000000004,24,2024-12-01
3E35A71757,멕시*****,알수없음,치킨,서울  성동구  마장동,치킨19,서울 성동구,20050830,,1_10%이하,5_75-90%,4_50-75%,4_50-75%,3_25-50%,1_상위1구간,79.50416666666666,26.579166666666666,31.795833333333334,62.479166666666664,0.0,16.787499999999998,,5.219366666666667,11.444783333333334,19.471170833333336,11.046975000000002,17.98142916666667,2.7848,6.059383333333333,10.4496625,5.953025,9.5852375,32.473333333333336,6.02625,78.03333333333333,2.1041666666666665,19.8625,24,2024-12-01
5017C6924A,도미********,알수없음,피자,서울  성동구  마장동,피자2,서울 성동구,20100723,,2_10-25%,2_10-25%,3_25-50%,3_25-50%,2_10-25%,6_상위6구간(하위1구간),37.19583333333333,353.8333333333333,192.63750000000002,2.095833333333333,0.0,21.204166666666666,,7.251179166666667,10.436070833333334,11.801499999999999,14.9891125,11.055725,5.794654166666667,8.330595833333334,9.461,12.031720833333333,8.856775,24.21375,6.413333333333333,63.32916666666667,8.583333333333334,28.104166666666668,24,2024-12-01
888828B4FB,현대**,알수없음,식료품,서울  성동구  마장동,,서울 성동구,20070420,,1_10%이하,3_25-50%,2_10-25%,2_10-25%,5_75-90%,4_상위4구간,,59.54583333333333,166.29583333333332,24.5125,0.0,10.720833333333333,,5.9957875,18.330075,15.267445833333333,13.909354166666667,10.072537500000001,3.4250458333333333,10.494925,8.745054166666668,7.978145833333333,5.769129166666667,27.817916666666665,6.4225,51.09583333333333,6.029166666666666,42.85833333333333,24,2024-12-01
06C463E9D9,청계**,알수없음,식료품,서울  성동구  마장동,,서울 성동구,20070704,,1_10%이하,6_90%초과(하위 10% 이하),5_75-90%,5_75-90%,3_25-50%,1_상위1구간,,6.070833333333333,0.9500000000000001,50.44166666666666,0.0,12.166666666666666,,0.061975,2.215895833333333,2.2347958333333335,0.7140749999999999,0.323975,7.2088583333333345,54.725770833333335,22.340204166666666,7.423425000000001,2.759358333333333,65.78416666666666,4.90125,7.6923076923076925,0.0,92.3076923076923,24,2024-12-01
5AEEA3B4EF,한양**,알수없음,식료품,서울  성동구  마장동,,서울 성동구,20101008,,2_10-25%,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),1_상위1구간,,10.3125,1.3291666666666666,45.333333333333336,0.0,12.166666666666666,,7.176129166666667,0.0,0.0,45.88583333333333,42.81700416666666,0.7863708333333334,0.0,0.0,0.9183333333333333,2.4204958333333333,63.64041666666666,2.4587499999999998,0.0,0.0,100.0,24,2024-12-01
1400634946,한일**,알수없음,중식당,서울  성동구  마장동,,서울 성동구,20040728,,1_10%이하,3_25-50%,3_25-50%,4_50-75%,3_25-50%,1_상위1구간,17.616666666666667,71.7375,90.39166666666667,32.916666666666664,0.0,16.979166666666668,,5.669783333333334,15.3526375,18.494266666666665,17.64314166666667,13.706983333333334,2.3093833333333333,6.293195833333333,7.643233333333334,7.231858333333332,5.655516666666667,40.23708333333334,5.9725,48.479166666666664,20.266666666666666,31.258333333333336,24,2024-12-01
3E61C339E2,세화**,알수없음,축산물,서울  성동구  마장동,,서울 성동구,20020924,,1_10%이하,6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_90%초과(하위 10% 이하),6_상위6구간(하위1구간),,288.0541666666667,14.458333333333334,4.170833333333333,0.0,11.654166666666667,,0.33898333333333336,1.4728791666666667,7.718804166666668,7.3391416666666665,8.7624125,1.1235166666666667,4.460454166666667,20.302029166666667,22.75669166666667,25.7250875,42.92791666666667,3.56375,19.1875,3.275,77.5375,24,2024-12-01
